measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",46.98,0.0,9.608,0.241,9.008,10.207,false,37.372,3.89,1396.666
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",47.24,0.0,18.745,0.565,17.341,20.149,false,28.495,1.52,811.965
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",46.64,0.0,18.635,0.366,17.725,19.545,false,28.005,1.503,784.28
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, CLOCK]",50.75,0.0,54.583,0.378,53.645,55.521,false,3.833,0.07,14.692
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, CLOCK]",43.35,0.0,9.582,0.114,9.3,9.864,false,33.768,3.524,1140.278
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC]",50.75,0.0,54.742,0.064,54.583,54.902,false,3.992,0.073,15.936
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",46.64,0.0,18.542,0.425,17.485,19.599,false,28.098,1.515,789.498
"false","[MONITOR, JOURNALSERIALIZER]",17.72,0.0,18.789,0.516,17.506,20.072,true,1.069,0.057,1.143
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",43.35,0.0,9.079,0.119,8.784,9.373,false,34.271,3.775,1174.501
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",47.24,0.0,19.067,0.81,17.054,21.08,false,28.173,1.478,793.718
"false","[MONITOR, JOURNALSERIALIZER, CLOCK]",17.72,0.0,18.559,0.088,18.341,18.778,false,0.839,0.045,0.704
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",47.58,0.0,9.417,0.241,8.817,10.016,false,38.163,4.053,1456.415
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",9.67,0.0,9.74,0.183,9.285,10.194,true,0.07,0.007,0.005
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",25.24,0.0,35.758,0.281,35.061,36.456,false,10.518,0.294,110.628
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.67,0.0,9.4,0.221,8.85,9.949,true,0.27,0.029,0.073
"false","[DEEPCOPY, FILEAGETHRESHOLD, FILESIZETHRESHOLD, CLOCK]",21.9,0.0,25.086,0.603,23.587,26.584,false,3.186,0.127,10.151
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",38.81,0.0,5.656,0.08,5.457,5.856,false,33.154,5.862,1099.188
"true","[TRANSIENTMODE]",6.33,0.0,6.119,0.243,5.515,6.723,true,0.211,0.034,0.045
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD]",14.45,0.0,8.703,0.309,7.937,9.47,false,5.747,0.66,33.028
"false","[DEEPCOPY, FILESIZETHRESHOLD]",21.9,0.0,24.6,0.358,23.71,25.49,false,2.7,0.11,7.29
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",47.58,0.0,9.001,0.276,8.316,9.686,false,38.579,4.286,1488.339
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",17.79,0.0,18.704,0.312,17.929,19.48,false,0.914,0.049,0.835
"false","[FILEAGETHRESHOLD, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",17.12,0.0,18.138,0.295,17.406,18.87,false,1.018,0.056,1.036
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",46.64,0.0,19.269,0.494,18.042,20.497,false,27.371,1.42,749.172
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",47.58,0.0,9.528,0.488,8.316,10.74,false,38.052,3.994,1447.955
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",13.85,0.0,8.434,0.111,8.159,8.709,false,5.416,0.642,29.333
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",46.64,0.0,18.918,0.395,17.936,19.901,false,27.722,1.465,768.509
"false","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",51.09,0.0,53.436,0.364,52.531,54.341,false,2.346,0.044,5.504
"false","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",17.12,0.0,18.583,0.822,16.541,20.625,true,1.463,0.079,2.14
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER]",54.69,0.0,67.415,0.188,66.948,67.882,false,12.725,0.189,161.926
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",46.98,0.0,9.489,0.471,8.318,10.659,false,37.491,3.951,1405.575
"false","[DEEPCOPY, FILEAGETHRESHOLD, FILESIZETHRESHOLD]",21.9,0.0,24.156,0.753,22.284,26.027,false,2.256,0.093,5.09
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",46.98,0.0,9.369,0.436,8.285,10.452,false,37.611,4.014,1414.587
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",17.79,0.0,18.656,0.197,18.167,19.146,false,0.866,0.046,0.75
"false","[FILEAGETHRESHOLD, MONITOR, CLOCK]",13.78,0.0,14.238,0.373,13.312,15.165,true,0.458,0.032,0.21
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",9.67,0.0,9.303,0.505,8.048,10.559,true,0.367,0.039,0.135
"false","[DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",55.03,0.0,61.129,0.668,59.469,62.789,false,6.099,0.1,37.198
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",47.24,0.0,18.834,0.69,17.121,20.547,false,28.406,1.508,806.901
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",38.81,0.0,5.936,0.132,5.609,6.264,false,32.874,5.538,1080.7
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",38.81,0.0,5.978,0.409,4.962,6.994,false,32.832,5.492,1077.94
"false","[DISKSYNC, SNAPSHOTSERIALIZER]",46.26,0.0,47.29,0.431,46.22,48.36,true,1.03,0.022,1.061
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",46.98,0.0,9.216,0.361,8.319,10.113,false,37.764,4.098,1426.12
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",46.64,0.0,19.007,0.268,18.343,19.672,false,27.633,1.454,763.583
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",46.64,0.0,19.324,0.379,18.383,20.264,false,27.316,1.414,746.164
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",47.58,0.0,9.341,0.357,8.454,10.227,false,38.239,4.094,1462.221
"false","[TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",9.96,0.0,6.264,0.452,5.142,7.386,false,3.696,0.59,13.66
"false","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",17.12,0.0,18.144,0.249,17.526,18.762,false,1.024,0.056,1.049
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD]",14.5,0.0,9.187,0.439,8.096,10.277,false,5.313,0.578,28.228
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",13.56,0.0,19.032,0.729,17.22,20.843,false,5.472,0.288,29.943
"false","[DEEPCOPY, FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, CLOCK]",17.07,0.0,18.077,0.262,17.426,18.728,false,1.007,0.056,1.014
"false","[MONITOR, FILESIZETHRESHOLD, CLOCK]",18.01,0.0,18.667,0.323,17.866,19.468,true,0.657,0.035,0.432
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, CLOCK]",50.8,0.0,54.665,0.088,54.445,54.884,false,3.865,0.071,14.938
"false","[DEEPCOPY, SNAPSHOTSERIALIZER]",17.07,0.0,18.396,0.364,17.493,19.299,false,1.326,0.072,1.758
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",14.5,0.0,9.586,0.156,9.198,9.975,false,4.914,0.513,24.147
"false","[JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",21.95,0.0,23.719,0.629,22.156,25.283,false,1.769,0.075,3.129
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",46.93,0.0,8.619,0.103,8.364,8.873,false,38.311,4.445,1467.733
"false","[DEEPCOPY, FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",21.3,0.0,24.803,0.543,23.455,26.151,false,3.503,0.141,12.271
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",55.03,0.0,61.595,0.432,60.523,62.667,false,6.565,0.107,43.099
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",43.35,0.0,9.221,0.304,8.467,9.975,false,34.129,3.701,1164.789
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",46.93,0.0,8.607,0.035,8.52,8.693,false,38.323,4.453,1468.652
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",54.09,0.0,67.649,0.266,66.987,68.31,false,13.559,0.2,183.846
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER]",50.8,0.0,55.016,0.517,53.731,56.301,false,4.216,0.077,17.775
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",46.93,0.0,8.36,0.261,7.712,9.007,false,38.57,4.614,1487.645
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",13.56,0.0,18.815,0.341,17.967,19.662,false,5.255,0.279,27.615
"false","[DEEPCOPY, SNAPSHOTSERIALIZER, CLOCK]",17.07,0.0,17.977,0.447,16.866,19.088,true,0.907,0.05,0.823
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",9.62,0.0,9.186,0.262,8.536,9.836,true,0.434,0.047,0.188
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",13.56,0.0,18.712,0.486,17.503,19.92,false,5.152,0.275,26.543
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER]",9.62,0.0,8.606,0.254,7.974,9.238,false,1.014,0.118,1.028
"false","[JOURNALSERIALIZER, FILESIZETHRESHOLD]",21.95,0.0,24.644,0.638,23.059,26.23,false,2.694,0.109,7.258
"false","[MONITOR, DISKSYNC]",46.86,0.0,47.926,0.615,46.398,49.455,true,1.066,0.022,1.136
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, CLOCK]",10.27,0.0,9.529,0.347,8.668,10.39,true,0.741,0.078,0.549
