measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",20.061,0.0,18.446,0.191,1.615,0.088,2.608
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",59.921,0.0,62.168,0.47,2.247,0.036,5.049
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.414,0.0,9.404,0.203,0.01,0.001,0
"false","[TRANSIENTMODE, MONITOR]",6.338,0.0,6.026,0.36,0.312,0.052,0.097
"false","[FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",17.804,0.0,18.455,0.172,0.651,0.035,0.424
"true","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",62.336,0.0,62.088,0.338,0.248,0.004,0.062
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",8.314,0.0,8.489,0.109,0.175,0.021,0.031
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",18.393,0.0,18.738,0.599,0.345,0.018,0.119
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",61.669,0.0,62.159,0.207,0.49,0.008,0.24
"false","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD]",6.338,0.0,6.076,0.322,0.262,0.043,0.069
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",20.061,0.0,18.643,0.176,1.418,0.076,2.011
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",36.08,0.0,35.245,0.244,0.835,0.024,0.697
"true","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD]",52.772,0.0,53.418,0.546,0.646,0.012,0.417
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD, CLOCK]",8.369,0.0,8.947,0.18,0.578,0.065,0.334
"true","[DEEPCOPY, FILESIZETHRESHOLD, CLOCK]",23.902,0.0,24.432,0.964,0.53,0.022,0.281
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.785,0.0,9.608,0.197,0.177,0.018,0.031
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",19.604,0.0,18.745,0.462,0.859,0.046,0.738
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",19.157,0.0,18.635,0.299,0.522,0.028,0.272
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, CLOCK]",9.424,0.0,9.582,0.093,0.158,0.016,0.025
"true","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, CLOCK]",57.094,0.0,54.583,0.308,2.511,0.046,6.305
"true","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC]",54.736,0.0,54.742,0.053,0.006,0,0
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",20.061,0.0,18.542,0.347,1.519,0.082,2.307
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",9.71,0.0,9.079,0.097,0.631,0.07,0.398
"false","[MONITOR, JOURNALSERIALIZER]",17.722,0.0,18.789,0.422,1.067,0.057,1.138
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",18.589,0.0,19.067,0.662,0.478,0.025,0.228
"false","[MONITOR, JOURNALSERIALIZER, CLOCK]",17.245,0.0,18.559,0.072,1.314,0.071,1.727
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.424,0.0,9.417,0.197,0.007,0.001,0
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",9.785,0.0,9.74,0.149,0.045,0.005,0.002
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",35.852,0.0,35.758,0.229,0.094,0.003,0.009
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.414,0.0,9.4,0.181,0.014,0.001,0
"true","[DEEPCOPY, FILEAGETHRESHOLD, FILESIZETHRESHOLD, CLOCK]",24.508,0.0,25.086,0.493,0.578,0.023,0.334
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",5.725,0.0,5.656,0.066,0.069,0.012,0.005
"true","[TRANSIENTMODE]",6.338,0.0,6.119,0.199,0.219,0.036,0.048
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD]",8.755,0.0,8.703,0.252,0.052,0.006,0.003
"true","[DEEPCOPY, FILESIZETHRESHOLD]",23.704,0.0,24.6,0.293,0.896,0.036,0.803
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.71,0.0,9.001,0.225,0.709,0.079,0.503
"true","[FILEAGETHRESHOLD, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",17.804,0.0,18.138,0.241,0.334,0.018,0.112
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",20.061,0.0,18.704,0.255,1.357,0.073,1.841
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",20.061,0.0,19.269,0.403,0.792,0.041,0.627
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.424,0.0,9.528,0.398,0.104,0.011,0.011
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",8.314,0.0,8.434,0.09,0.12,0.014,0.014
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",20.061,0.0,18.918,0.323,1.143,0.06,1.306
