measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, CLOCK]",57.094,0,54.583,0.378,53.645,55.521,false,2.511,0.046,6.305
"true","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC]",54.736,0,54.742,0.064,54.583,54.902,true,0.006,0,0
"true","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",18.605,0,18.542,0.425,17.485,19.599,true,0.063,0.003,0.004
"true","[MONITOR, JOURNALSERIALIZER]",18.193,0,18.789,0.516,17.506,20.072,true,0.596,0.032,0.355
"true","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",8.733,0,9.079,0.119,8.784,9.373,false,0.346,0.038,0.12
"true","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",19.194,0,19.067,0.81,17.054,21.08,true,0.127,0.007,0.016
"true","[MONITOR, JOURNALSERIALIZER, CLOCK]",18.88,0,18.559,0.088,18.341,18.778,false,0.321,0.017,0.103
"true","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.468,0,9.417,0.241,8.817,10.016,true,0.051,0.005,0.003
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",9.619,0,9.74,0.183,9.285,10.194,true,0.121,0.012,0.015
"true","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",35.813,0,35.758,0.281,35.061,36.456,true,0.055,0.002,0.003
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.04,0,9.4,0.221,8.85,9.949,true,0.36,0.038,0.13
"true","[DEEPCOPY, FILEAGETHRESHOLD, FILESIZETHRESHOLD, CLOCK]",24.508,0,25.086,0.603,23.587,26.584,true,0.578,0.023,0.334
"true","[TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",6.551,0,5.656,0.08,5.457,5.856,false,0.895,0.158,0.801
"true","[TRANSIENTMODE]",6.338,0,6.119,0.243,5.515,6.723,true,0.219,0.036,0.048
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD]",9.191,0,8.703,0.309,7.937,9.47,true,0.488,0.056,0.238
"true","[DEEPCOPY, FILESIZETHRESHOLD]",23.704,0,24.6,0.358,23.71,25.49,false,0.896,0.036,0.803
"true","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.23,0,9.001,0.276,8.316,9.686,true,0.229,0.025,0.052
"true","[FILEAGETHRESHOLD, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",17.804,0,18.138,0.295,17.406,18.87,true,0.334,0.018,0.112
"true","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",18.219,0,18.704,0.312,17.929,19.48,true,0.485,0.026,0.235
"true","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",18.073,0,19.269,0.494,18.042,20.497,true,1.196,0.062,1.43
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.985,0,9.528,0.488,8.316,10.74,true,0.457,0.048,0.209
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",8.713,0,8.434,0.111,8.159,8.709,false,0.279,0.033,0.078
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",17.994,0,18.918,0.395,17.936,19.901,true,0.924,0.049,0.854
"true","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",52.579,0,53.436,0.364,52.531,54.341,true,0.857,0.016,0.734
"true","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",18.393,0,18.583,0.822,16.541,20.625,true,0.19,0.01,0.036
"true","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER]",68.085,0,67.415,0.188,66.948,67.882,false,0.67,0.01,0.449
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",9.671,0,9.489,0.471,8.318,10.659,true,0.182,0.019,0.033
"true","[DEEPCOPY, FILEAGETHRESHOLD, FILESIZETHRESHOLD]",23.929,0,24.156,0.753,22.284,26.027,true,0.227,0.009,0.052
"true","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.035,0,9.369,0.436,8.285,10.452,true,0.334,0.036,0.112
