measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",58.64,0.0,58.497,0.545,0.143,0.002,0.02
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE]",0.784,0.0,0.84,0.038,0.056,0.067,0.003
"false","[CHECKSUM, FORCE, VERBOSE, ENTROPY]",0.304,0.0,0.32,0.004,0.016,0.05,0
"false","[BLOCKSIZE, TRANSFORM, VERBOSE]",0.732,0.0,0.77,0.036,0.038,0.049,0.001
"true","[LEVEL]",58.142,0.0,58.142,0.091,0,0,0
"false","[BLOCKSIZE, ENTROPY]",0.749,0.0,0.717,0.014,0.032,0.045,0.001
"true","[FORCE]",0.247,0.0,0.247,0.014,0,0,0
"false","[CHECKSUM, LEVEL]",58.194,0.0,57.8,0.415,0.394,0.007,0.155
"false","[CHECKSUM, LEVEL, VERBOSE]",58.199,0.0,58.34,0.236,0.141,0.002,0.02
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM]",0.779,0.0,0.788,0.033,0.009,0.011,0
"false","[CHECKSUM, BLOCKSIZE, LEVEL, ENTROPY]",58.705,0.0,58.044,0.42,0.661,0.011,0.437
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",58.697,0.0,58.377,0.708,0.32,0.005,0.102
"false","[BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",0.732,0.0,0.787,0.01,0.055,0.07,0.003
"false","[CHECKSUM, FORCE, TRANSFORM]",0.277,0.0,0.3,0.007,0.023,0.077,0.001
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",58.719,0.0,59.915,0.597,1.196,0.02,1.43
"false","[CHECKSUM, FORCE]",0.299,0.0,0.318,0.013,0.019,0.06,0
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",58.683,0.0,58.894,0.027,0.211,0.004,0.045
"false","[FORCE, BLOCKSIZE, LEVEL, VERBOSE]",58.667,0.0,59.479,0.482,0.812,0.014,0.659
"false","[CHECKSUM, BLOCKSIZE]",0.801,0.0,0.804,0.008,0.003,0.004,0
"false","[TRANSFORM, ENTROPY]",0.216,0.0,0.229,0.003,0.013,0.057,0
"false","[CHECKSUM, FORCE, TRANSFORM, LEVEL, ENTROPY]",58.181,0.0,58.377,0.608,0.196,0.003,0.038
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",0.793,0.0,0.927,0.047,0.134,0.145,0.018
"false","[FORCE, TRANSFORM, LEVEL]",58.129,0.0,58.747,0.661,0.618,0.011,0.382
"false","[CHECKSUM, VERBOSE]",0.295,0.0,0.312,0.003,0.017,0.054,0
"false","[FORCE, LEVEL]",58.151,0.0,58.005,0.448,0.146,0.003,0.021
"false","[BLOCKSIZE, TRANSFORM, ENTROPY]",0.727,0.0,0.734,0.016,0.007,0.01,0
"false","[CHECKSUM, LEVEL, VERBOSE, ENTROPY]",58.199,0.0,57.366,0.248,0.833,0.015,0.694
"false","[FORCE, BLOCKSIZE, LEVEL]",58.662,0.0,58.174,0.393,0.488,0.008,0.238
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",58.697,0.0,58.435,0.491,0.262,0.004,0.069
