measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",60.072,0.0,59.915,0.597,0.157,0.003,0.025
"true","[CHECKSUM, FORCE]",2.799,0.0,0.318,0.013,2.481,7.802,6.155
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",59.375,0.0,58.894,0.027,0.481,0.008,0.231
"false","[FORCE, BLOCKSIZE, VERBOSE, LEVEL]",59.758,0.0,59.479,0.482,0.279,0.005,0.078
"true","[CHECKSUM, BLOCKSIZE]",2.138,0.0,0.804,0.008,1.334,1.659,1.78
"true","[TRANSFORM, ENTROPY]",2.585,0.0,0.229,0.003,2.356,10.288,5.551
"true","[CHECKSUM, FORCE, TRANSFORM, LEVEL, ENTROPY]",60.171,0.0,58.377,0.608,1.794,0.031,3.218
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",2.119,0.0,0.927,0.047,1.192,1.286,1.421
"true","[FORCE, TRANSFORM, LEVEL]",60.218,0.0,58.747,0.661,1.471,0.025,2.164
"true","[CHECKSUM, VERBOSE]",2.984,0.0,0.312,0.003,2.672,8.564,7.14
"true","[FORCE, LEVEL]",61.36,0.0,58.005,0.448,3.355,0.058,11.256
"true","[BLOCKSIZE, TRANSFORM, ENTROPY]",1.985,0.0,0.734,0.016,1.251,1.704,1.565
"false","[CHECKSUM, VERBOSE, LEVEL, ENTROPY]",59.458,0.0,57.366,0.248,2.092,0.036,4.376
"true","[FORCE, BLOCKSIZE, LEVEL]",59.758,0.0,58.174,0.393,1.584,0.027,2.509
"true","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",58.941,0.0,58.435,0.491,0.506,0.009,0.256
"false","[BLOCKSIZE, VERBOSE, ENTROPY]",2.016,0.0,0.829,0.021,1.187,1.432,1.409
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE]",2.777,0.0,0.321,0.006,2.456,7.651,6.032
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL]",59.332,0.0,58.732,0.185,0.6,0.01,0.36
"true","[CHECKSUM, FORCE, ENTROPY]",2.836,0.0,0.28,0.006,2.556,9.129,6.533
"false","[CHECKSUM, TRANSFORM, VERBOSE, LEVEL]",58.474,0.0,58.69,0.37,0.216,0.004,0.047
"true","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM]",2.119,0.0,0.805,0.005,1.314,1.632,1.727
"true","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE]",2.103,0.0,0.836,0.006,1.267,1.516,1.605
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",60.171,0.0,58.194,0.496,1.977,0.034,3.909
"true","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",59.725,0.0,59.981,0.515,0.256,0.004,0.066
"false","[TRANSFORM, VERBOSE, ENTROPY]",2.597,0.0,0.25,0.004,2.347,9.388,5.508
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",58.941,0.0,58.995,0.361,0.054,0.001,0.003
"true","[CHECKSUM, LEVEL, ENTROPY]",59.447,0.0,58.341,0.234,1.106,0.019,1.223
"false","[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL]",59.878,0.0,59.524,0.096,0.354,0.006,0.125
"false","[LEVEL, ENTROPY]",60.73,0.0,58.098,0.094,2.632,0.045,6.927
"false","[CHECKSUM, FORCE, VERBOSE]",2.799,0.0,0.314,0.002,2.485,7.914,6.175
"false","[BLOCKSIZE, VERBOSE]",2.109,0.0,0.769,0.014,1.34,1.743,1.796
"true","[CHECKSUM, TRANSFORM, LEVEL]",58.463,0.0,58.505,0.389,0.042,0.001,0.002
"false","[FORCE, VERBOSE]",2.725,0.0,0.245,0.002,2.48,10.122,6.15
"true","[TRANSFORM, LEVEL]",59.8,0.0,58.88,0.613,0.92,0.016,0.846
"true","[CHECKSUM, TRANSFORM]",2.746,0.0,0.281,0.008,2.465,8.772,6.076
"false","[FORCE, VERBOSE, LEVEL]",61.36,0.0,58.565,0.265,2.795,0.048,7.812
"true","[TRANSFORM]",2.808,0.0,0.216,0.01,2.592,12,6.718
"false","[CHECKSUM, FORCE, BLOCKSIZE]",2.103,0.0,0.834,0.009,1.269,1.522,1.61
"false","[BLOCKSIZE, VERBOSE, LEVEL]",59.949,0.0,60.333,0.516,0.384,0.006,0.147
"false","[CHECKSUM, FORCE, VERBOSE, LEVEL]",60.735,0.0,59.33,0.467,1.405,0.024,1.974
"true","[FORCE, BLOCKSIZE]",1.963,0.0,0.776,0.014,1.187,1.53,1.409
"false","[FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",1.962,0.0,0.809,0.018,1.153,1.425,1.329
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",2.18,0.0,0.852,0.011,1.328,1.559,1.764
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",59.386,0.0,57.88,0.827,1.506,0.026,2.268
"false","[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",60.207,0.0,58.604,0.452,1.603,0.027,2.57
"false","[CHECKSUM, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",58.353,0.0,57.94,0.211,0.413,0.007,0.171
"true","[FORCE, TRANSFORM, ENTROPY]",2.717,0.0,0.216,0.007,2.501,11.579,6.255
"true","[CHECKSUM, FORCE, TRANSFORM, ENTROPY]",2.767,0.0,0.296,0.002,2.471,8.348,6.106
"false","[TRANSFORM, VERBOSE, LEVEL, ENTROPY]",59.46,0.0,58.822,0.377,0.638,0.011,0.407
