FILE_LOCK,AUTOCOMMIT,ACCESS_MODE_DATA,CIPHER,CACHE_TYPE,CACHE_SIZE,MV_STORE,ANALYZE_AUTO,DEFRAG_ALWAYS,IFEXISTS,FORBID_CREATION,IGNORE_UNKNOWN_SETTINGS,PAGE_SIZE,ANALYZE_SAMPLE,COMPRESS,OPTIMIZE_DISTINCT,time
1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,11.72
1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,3.7
0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,3.57
1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,3.56
1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,87.98
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,34.75
0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,3.59
0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,3.67
1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,19.91
0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,3.6
1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,3.55
0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,34.89
1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,11.65
1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,3.62
1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,11.69
1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,3.61
0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,3.65
0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,3.72
0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,19.95
1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,3.47
0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,3.61
1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,3.64
0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,3.7
0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,3.44
1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,33.75
0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,11.66
0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,85.31
0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,3.63
1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,3.82
0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,3.55
1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,11.72
1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,34.72
0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,3.45
0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,11.71
0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,19.9
0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,11.63
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,11.6
0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,33.78
0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,3.63
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.71
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,3.55
1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,3.65
1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,3.61
1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,3.62
0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,19.93
1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,11.62
1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,85.39
1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,3.7
0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,3.61
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,33.83
0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,3.47
0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,11.78
