RAM_BUFFER_SIZE_MB,MERGE_POLICY,MERGE_SCHEDULER,COMMIT_ON_CLOSE,CHECK_PENDING_FLUSH_UPDATE,READER_POOLING,MAX_BUFFERED_DOCS,CODEC,USE_COMPOUND_FILE,INDEX_DELETION_POLICY,MAX_TOKEN_LENGTH,MAX_CFS_SEGMENT_SIZE_MB,NO_CFS_RATIO,INDEX_COMMIT,MERGED_SEGMENT_WARMER,RAM_PER_THREAD_HARD_LIMIT,SIMILARITY,time
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,30.822
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,31.029
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,30.635
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,30.614
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,30.509
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,30.539
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.527
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,30.669
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.198
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.475
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,30.714
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,34.056
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,30.426
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30.659
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,30.543
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.539
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.937
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30.486
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30.882
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,33.967
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,30.53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.531
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.824
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,34.19
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,34.159
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.281
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.94
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.706
