measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",60.741,0.0,62.168,0.576,60.738,63.599,true,1.427,0.023,2.036
"false","[TRANSIENTMODE, MONITOR]",6.151,0.0,6.026,0.441,4.93,7.121,true,0.125,0.021,0.016
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.965,0.0,9.404,0.248,8.787,10.021,true,0.561,0.06,0.315
"false","[FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",20.475,0.0,18.455,0.211,17.931,18.98,false,2.02,0.109,4.08
"false","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",64.188,0.0,62.088,0.414,61.059,63.118,false,2.1,0.034,4.41
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",10.116,0.0,8.489,0.133,8.158,8.82,false,1.627,0.192,2.647
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",20.586,0.0,18.738,0.734,16.915,20.56,false,1.848,0.099,3.415
"true","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD]",6.005,0.0,6.076,0.395,5.095,7.056,true,0.071,0.012,0.005
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",64.09,0.0,62.159,0.254,61.528,62.789,false,1.931,0.031,3.729
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",19.861,0.0,18.643,0.216,18.107,19.179,false,1.218,0.065,1.484
"false","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD]",56.224,0.0,53.418,0.669,51.756,55.08,false,2.806,0.053,7.874
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",35.881,0.0,35.245,0.299,34.504,35.987,true,0.636,0.018,0.404
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD, CLOCK]",12.865,0.0,8.947,0.22,8.4,9.493,false,3.918,0.438,15.351
"false","[DEEPCOPY, FILESIZETHRESHOLD, CLOCK]",26.074,0.0,24.432,1.181,21.499,27.365,true,1.642,0.067,2.696
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.154,0.0,9.608,0.241,9.008,10.207,true,0.546,0.057,0.298
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",19.791,0.0,18.745,0.565,17.341,20.149,true,1.046,0.056,1.094
