measured,configuration,performance,std,minci,maxci
true,"[PLATFORM, UPSCALINGALGORITHM, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALE]",25.755,0.118,25.568,25.943
true,"[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS]",8.37,0.045,8.297,8.442
true,"[PLATFORM, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, ROUNDINGHANDLER, SCALE, HALTONERROR, IOSCREATEIMAGESETFOLDERS]",8.706,0.076,8.584,8.827
true,"[OUTPUTCOMPRESSIONGMODE, IOSCREATEIMAGESETFOLDERS]",181.28,1.384,179.077,183.482
true,"[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SCALEMODE, SCALE]",4.004,0.056,3.915,4.092
true,"[PLATFORM, UPSCALINGALGORITHM, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALEMODE]",7.798,0.054,7.713,7.883
true,"[SCALEISHEIGHTDP, ENABLEPNGCRUSH, ENABLEMOZJPEG, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER]",2.305,0.012,2.286,2.324
true,"[PLATFORM, POSTCONVERTWEBP, SCALEISHEIGHTDP, SKIPUPSCALING, COMPRESSQUALITY, SCALEMODE, ROUNDINGHANDLER, HALTONERROR, GUIADVANCEDOPTIONS]",2.299,0.011,2.282,2.316
true,"[POSTCONVERTWEBP, INCLUDEANDROIDLDPITVDPI, ROUNDINGHANDLER, GUIADVANCEDOPTIONS]",61.55,0.538,60.693,62.406
true,"[PLATFORM, ENABLEPNGCRUSH, SKIPUPSCALING, COMPRESSQUALITY]",7.211,0.04,7.146,7.275
true,"[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",8.373,0.043,8.304,8.441
true,"[SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, SCALE, CLEARDIRBEFORECONVERT]",5.104,0.022,5.069,5.139
