measured,configuration,performance,std,minci,maxci
true,"[ISREGEX, ISTIMEOLDER, ISIGNORECASE, ISTIMECREATE, ISTYPEOTHER, ISTIMEMODIFIED, ISPRINT0, ISTYPEDIRECTORY, ISTIMENEWER]",8.949,10.26,-7.376,25.275
true,"[ISTIMEOLDER, ISTIMECREATE, ISTYPESYMLINK]",4.139,7.163,-7.259,15.537
true,"[ISREGEX, ISTIMEACCESS, ISIGNORECASE, ISTIMECREATE, ISTYPEOTHER, ISTYPEDIRECTORY]",10.59,12.562,-9.399,30.579
true,"[ISREGEX, ISTIMEACCESS, ISTIMEOLDER, ISIGNORECASE, ISTIMECREATE, ISTYPEOTHER, ISTYPESYMLINK, ISTIMENEWER]",3.697,6.125,-6.05,13.444
true,"[ISREGEX, ISTIMEACCESS, ISTIMEOLDER, ISIGNORECASE, ISTIMECREATE, ISTYPEOTHER, ISPRINT0, ISTYPEDIRECTORY, ISTIMENEWER]",1.137,0.922,-0.33,2.604
true,"[ISTIMEACCESS, ISIGNORECASE, ISTIMECREATE, ISTIMEMODIFIED, ISTYPEDIRECTORY, ISTYPESYMLINK]",7.436,13.11,-13.425,28.296
true,"[ISTIMEACCESS, ISTIMEOLDER, ISIGNORECASE, ISTIMECREATE, ISTIMEMODIFIED, ISTYPEDIRECTORY, ISTYPESYMLINK, ISTYPEFILE]",11.12,12.719,-9.118,31.359
true,"[ISREGEX, ISTIMEACCESS, ISIGNORECASE, ISTIMEMODIFIED, ISPRINT0, ISTYPESYMLINK, ISTIMENEWER, ISTYPEFILE]",7.649,14.011,-14.645,29.943
true,"[ISTIMEMODIFIED, ISPRINT0, ISTYPEDIRECTORY, ISTYPESYMLINK, ISTYPEFILE]",11.575,11.401,-6.567,29.717
true,"[ISTIMEOLDER, ISTIMECREATE, ISTIMEMODIFIED, ISPRINT0, ISTIMENEWER]",4.503,5.605,-4.416,13.421
true,"[ISTIMEACCESS, ISTIMEOLDER, ISTIMECREATE, ISTYPEOTHER, ISPRINT0, ISTYPEDIRECTORY]",7.847,12.555,-12.13,27.825
true,"[ISTIMEACCESS, ISIGNORECASE, ISTIMECREATE, ISTYPEOTHER, ISPRINT0, ISTYPESYMLINK, ISTYPEFILE]",4.896,7.02,-6.274,16.066
true,"[ISTIMEACCESS, ISIGNORECASE, ISTYPEOTHER, ISPRINT0, ISTYPEDIRECTORY, ISTIMENEWER, ISTYPEFILE]",4.889,6.997,-6.245,16.022
true,"[ISREGEX, ISTIMEOLDER, ISIGNORECASE, ISTIMEMODIFIED, ISPRINT0, ISTIMENEWER]",10.985,12.168,-8.378,30.348
true,"[ISREGEX, ISTIMEOLDER, ISTIMECREATE, ISTIMEMODIFIED, ISPRINT0, ISTYPEDIRECTORY, ISTYPESYMLINK, ISTYPEFILE]",1.229,0.879,-0.17,2.628
true,"[ISREGEX, ISTIMECREATE, ISTYPEDIRECTORY, ISTYPESYMLINK, ISTIMENEWER, ISTYPEFILE]",8.143,7.619,-3.981,20.267
true,"[ISTIMEACCESS, ISTIMEOLDER, ISIGNORECASE, ISPRINT0, ISTYPEDIRECTORY, ISTIMENEWER, ISTYPEFILE]",8.211,12.76,-12.092,28.514
