measured,configuration,family,family_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",30.56,0.0,30.887,0.478,30.126,31.647,true,0.327,0.011,0.107

Total: 40
MSE: 0.297
RMSE: 0.545
MAPE: 1.675
Measured within ci: 0
Measured outside ci: 1
Predicted within ci: 11
Predicted outside ci: 28
Valid configs: 38.0
