measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"true","[ROUNDINGHANDLER, GUIADVANCEDOPTIONS]",57.67,0.0,57.852,1.374,55.665,60.038,true,1.318,0.023,1.737
"true","[CREATEMIPMAPINSTEADOFDRAWABLEDIR, SCALE]",8.8,0.0,8.872,0.085,8.736,9.008,false,1.428,0.161,2.039
"false","[POSTCONVERTWEBP, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY, SCALE]",7.84,0.0,8.554,0.069,8.444,8.663,false,0.786,0.092,0.618
"false","[PLATFORM, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALEMODE]",0.0,0.0,9.323,0.019,9.293,9.353,false,7.823,0.839,61.199
"false","[INCLUDEANDROIDLDPITVDPI, CREATEMIPMAPINSTEADOFDRAWABLEDIR, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALE, HALTONERROR, IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",30.87,0.0,22.042,0.04,21.978,22.106,false,10.328,0.469,106.668
"false","[PLATFORM, UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, DOWNSCALINGALGORITHM, SCALEMODE, SCALE]",0.0,0.0,7.275,0.04,7.212,7.338,false,5.775,0.794,33.351
"true","[POSTCONVERTWEBP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR]",59.43,0.0,58.003,0.706,56.879,59.126,false,2.927,0.05,8.567
"false","[POSTCONVERTWEBP, SCALEISHEIGHTDP, CREATEMIPMAPINSTEADOFDRAWABLEDIR, ENABLEANTIALIASING]",77.38,0.0,74.993,0.146,74.76,75.226,false,3.887,0.052,15.109
"false","[POSTCONVERTWEBP, ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, SCALE, IOSCREATEIMAGESETFOLDERS]",18.52,0.0,19.286,0.112,19.107,19.465,false,0.734,0.038,0.539
"false","[SKIPUPSCALING, DOWNSCALINGALGORITHM, IOSCREATEIMAGESETFOLDERS]",4.47,0.0,4.853,0.011,4.836,4.87,false,1.117,0.23,1.248
"false","[PLATFORM, UPSCALINGALGORITHM, OUTPUTCOMPRESSIONGMODE, SCALEMODE, SCALE]",0.0,0.0,14.576,0.134,14.363,14.789,false,13.076,0.897,170.982
"false","[PLATFORM, POSTCONVERTWEBP, ENABLEPNGCRUSH, SKIPUPSCALING, COMPRESSQUALITY, SCALEMODE]",0.0,0.0,5.304,0.04,5.24,5.369,false,3.804,0.717,14.47
