measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[ENABLEMOZJPEG, HALTONERROR]",56.11,0.0,57.872,0.516,57.05,58.694,true,0.262,0.005,0.069
"false","[PLATFORM, SCALEISHEIGHTDP]",111.77,0.0,111.549,0.699,110.437,112.66,false,1.721,0.015,2.962
"false","[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY, SCALE]",49.63,0.0,16.294,0.219,15.945,16.642,false,34.836,2.138,1213.547
"false","[INCLUDEANDROIDLDPITVDPI, ENABLEANTIALIASING]",81.36,0.0,81.495,0.596,80.547,82.443,false,1.365,0.017,1.863
"false","[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALEMODE]",62.1,0.0,3.8,0.011,3.784,3.817,false,59.8,15.737,3576.04
"false","[PLATFORM, UPSCALINGALGORITHM, ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE, SCALE]",120.61,0.0,9.285,0.023,9.247,9.322,false,112.825,12.151,12729.481
"false","[OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM]",182.89,0.0,182.289,1.735,179.528,185.049,true,2.101,0.012,4.414
"false","[POSTCONVERTWEBP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, VERBOSELOG, HALTONERROR, IOSCREATEIMAGESETFOLDERS]",51.64,0.0,52.379,0.549,51.506,53.252,true,0.761,0.015,0.579
"false","[ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",58.47,0.0,58.343,0.731,57.179,59.507,false,1.627,0.028,2.647
"false","[VERBOSELOG, CLEARDIRBEFORECONVERT]",56.68,0.0,57.493,0.374,56.899,58.088,false,0.687,0.012,0.472
"false","[UPSCALINGALGORITHM, CREATEMIPMAPINSTEADOFDRAWABLEDIR, VERBOSELOG]",47.4,0.0,48.209,0.104,48.044,48.373,false,0.691,0.014,0.477
"false","[POSTCONVERTWEBP, COMPRESSQUALITY]",54.14,0.0,55.196,1.144,53.376,57.016,true,0.444,0.008,0.197
"false","[ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE, SCALE]",75.69,0.0,5.251,0.016,5.226,5.276,false,71.939,13.7,5175.22
"false","[ENABLEANTIALIASING, SCALEMODE]",21.38,0.0,3.797,0.009,3.783,3.811,false,19.083,5.026,364.161
"false","[ENABLEPNGCRUSH, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",58.47,0.0,58.304,0.755,57.103,59.506,false,1.666,0.029,2.776
"false","[OUTPUTCOMPRESSIONGMODE, IOSCREATEIMAGESETFOLDERS]",182.45,0.0,182.563,0.425,181.887,183.24,false,1.387,0.008,1.924
"false","[ENABLEMOZJPEG, COMPRESSQUALITY]",53.64,0.0,55.804,1.045,54.141,57.466,true,0.664,0.012,0.441
"false","[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALE]",175.16,0.0,26.642,0.065,26.539,26.745,false,150.018,5.631,22505.4
"false","[PLATFORM, VERBOSELOG]",111.87,0.0,111.003,0.73,109.841,112.165,false,2.367,0.021,5.603
"false","[SCALEISHEIGHTDP, UPSCALINGALGORITHM]",47.87,0.0,47.946,0.619,46.961,48.931,false,1.424,0.03,2.028
"false","[ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, SCALE]",133.96,0.0,19.21,0.152,18.968,19.451,false,116.25,6.052,13514.062
"false","[PLATFORM, SCALEISHEIGHTDP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEMOZJPEG, HALTONERROR]",110.02,0.0,112.209,0.759,111.002,113.416,true,0.689,0.006,0.475
"false","[UPSCALINGALGORITHM, SKIPUPSCALING, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALE]",0.0,0.0,5.844,0.018,5.815,5.872,false,4.344,0.743,18.87
"true","[COMPRESSQUALITY]",54.14,0.0,54.681,0.259,54.268,55.093,false,0.959,0.018,0.92
"false","[ENABLEPNGCRUSH, CLEARDIRBEFORECONVERT]",57.08,0.0,57.947,0.506,57.142,58.753,true,0.633,0.011,0.401
"false","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SCALEMODE]",3.81,0.0,3.784,0.023,3.748,3.821,false,1.526,0.403,2.329
"false","[UPSCALINGALGORITHM, SKIPUPSCALING, COMPRESSQUALITY]",0.0,0.0,4.706,0.011,4.688,4.724,false,3.206,0.681,10.278
"false","[PLATFORM, POSTCONVERTWEBP, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, COMPRESSQUALITY, SCALEMODE, SCALE]",0.0,0.0,9.928,0.057,9.837,10.019,false,8.428,0.849,71.031
"false","[CREATEMIPMAPINSTEADOFDRAWABLEDIR, SCALE]",8.36,0.0,8.872,0.085,8.736,9.008,false,0.988,0.111,0.976
"false","[ROUNDINGHANDLER, GUIADVANCEDOPTIONS]",58.28,0.0,57.852,1.374,55.665,60.038,true,1.928,0.033,3.717
"false","[POSTCONVERTWEBP, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY, SCALE]",4.71,0.0,8.554,0.069,8.444,8.663,false,2.344,0.274,5.494
"false","[PLATFORM, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALEMODE]",130.22,0.0,9.323,0.019,9.293,9.353,false,122.397,13.128,14981.026
"false","[INCLUDEANDROIDLDPITVDPI, CREATEMIPMAPINSTEADOFDRAWABLEDIR, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALE, HALTONERROR, IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",133.28,0.0,22.042,0.04,21.978,22.106,false,112.738,5.115,12709.857
