measured,configuration,feature_wise,feature_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.531,0.009,1.516,1.546,false,1.531,1,2.344
"false","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",27.85,0.0,17.305,0.562,16.41,18.199,false,10.545,0.609,111.197
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",0.0,0.0,17.258,0.305,16.773,17.744,false,17.258,1,297.839
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, IGNORECASE]",3.6,0.0,3.516,0.072,3.401,3.631,true,0.084,0.024,0.007
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, CHECK]",0.0,0.0,1.569,0.006,1.56,1.579,false,1.569,1,2.462
"false","[CHECK, GENERALNUMRICSORT, IGNORECASE]",1.56,0.0,1.538,0.008,1.525,1.551,false,0.022,0.014,0
"false","[MERGE, NUMBERICSORT]",65.36,0.0,13.496,0.272,13.063,13.929,false,51.864,3.843,2689.874
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,17.165,0.305,16.68,17.65,false,17.165,1,294.637
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",0.0,0.0,17.037,0.224,16.68,17.394,false,17.037,1,290.259
"false","[VERSIONSORT, UNIQUE, REVERSE, IGNORECASE]",77.78,0.0,85.173,20.902,51.913,118.433,true,7.393,0.087,54.656
"false","[VERSIONSORT, GENERALNUMRICSORT, IGNORECASE]",77.78,0.0,101.914,1.034,100.268,103.559,false,24.134,0.237,582.45
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, GENERALNUMRICSORT]",27.85,0.0,13.631,0.123,13.436,13.827,false,14.219,1.043,202.18
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",25.81,0.0,104.761,2.321,101.069,108.454,false,78.951,0.754,6233.26
"false","[MONTHSORT, VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",139.54,0.0,103.59,2.202,100.087,107.094,false,35.95,0.347,1292.402
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, GENERALNUMRICSORT]",63.32,0.0,288.866,1.063,287.175,290.557,false,225.546,0.781,50870.998
"false","[VERSIONSORT, HUMANNUMERICSORT, REVERSE, GENERALNUMRICSORT]",77.78,0.0,103.557,1.13,101.76,105.354,false,25.777,0.249,664.454
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, CHECK]",0.0,0.0,1.535,0.002,1.532,1.538,false,1.535,1,2.356
"false","[MONTHSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",77.78,0.0,127.71,2.261,124.112,131.307,false,49.93,0.391,2493.005
"false","[MONTHSORT, NUMBERICSORT]",3.6,0.0,3.505,0.024,3.466,3.543,false,0.095,0.027,0.009
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",27.85,0.0,16.875,0.385,16.263,17.487,false,10.975,0.65,120.451
"false","[MERGE, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT]",0.0,0.0,13.38,0.174,13.103,13.658,false,13.38,1,179.024
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK]",0.0,0.0,13.222,0.268,12.795,13.648,false,13.222,1,174.821
