measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, GENERALNUMRICSORT]",284.691,0.0,287.175,2.357,283.425,290.925,true,2.484,0.009,6.17
"false","[VERSIONSORT, MERGE, DICTIONARYORDER, CHECK, IGNORECASE]",149.499,0.0,149.739,8.787,135.757,163.722,true,0.24,0.002,0.058
"false","[VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT]",1.537,0.0,1.537,0.006,1.527,1.547,true,0,0,0
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",4.939,0.0,4.802,0.08,4.675,4.929,false,0.137,0.029,0.019
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.274,0.0,13.341,0.467,12.597,14.085,true,0.067,0.005,0.004
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT]",104.059,0.0,104.161,0.933,102.676,105.645,true,0.102,0.001,0.01
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, CHECK]",137.983,0.0,148.787,6.498,138.447,159.127,false,10.804,0.073,116.726
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",17.56,0.0,17.393,0.246,17.002,17.785,true,0.167,0.01,0.028
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT]",13.058,0.0,13.198,0.127,12.996,13.401,true,0.14,0.011,0.02
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, REVERSE, GENERALNUMRICSORT]",101.322,0.0,104.148,0.847,102.8,105.495,false,2.826,0.027,7.986
"true","[IGNORELEADINGBLANKS, REVERSE, GENERALNUMRICSORT, IGNORECASE]",103.51,0.0,103.082,0.905,101.642,104.522,true,0.428,0.004,0.183
"false","[VERSIONSORT, MERGE, CHECK, GENERALNUMRICSORT, IGNORECASE]",288.086,0.0,284.816,4.927,276.976,292.656,true,3.27,0.011,10.693
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, REVERSE, GENERALNUMRICSORT]",103.488,0.0,104.21,2.711,99.896,108.524,true,0.722,0.007,0.521
"false","[VERSIONSORT, REVERSE, GENERALNUMRICSORT]",103.152,0.0,103.646,0.482,102.879,104.414,true,0.494,0.005,0.244
"false","[MONTHSORT, CHECK]",1.557,0.0,1.569,0.004,1.563,1.576,false,0.012,0.008,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",41.733,0.0,41.287,0.842,39.947,42.628,true,0.446,0.011,0.199
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, IGNORECASE]",112.05,0.0,113.27,0.554,112.388,114.152,false,1.22,0.011,1.488
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",284.14,0.0,289.897,3.722,283.975,295.819,true,5.757,0.02,33.143
"false","[VERSIONSORT, DICTIONARYORDER, REVERSE]",74.709,0.0,71.167,11.314,53.163,89.17,true,3.542,0.05,12.546
