measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMERICSORT]",-34.33,0.0,1.558,0,0,0,false,35.888,23.035,1287.949
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, NUMERICSORT, CHECK, REVERSE, GENERALNUMERICSORT, IGNORECASE]",-34.33,0.0,1.583,0,0,0,false,35.913,22.687,1289.744
"false","[NUMERICSORT, MERGE, DICTIONARYORDER, CHECK, GENERALNUMERICSORT]",40.75,0.0,13.443,0,0,0,false,27.307,2.031,745.672
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, DICTIONARYORDER, CHECK, GENERALNUMERICSORT, IGNORECASE]",32.82,0.0,1.578,0,0,0,false,31.242,19.798,976.063
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, NUMERICSORT, MERGE, DICTIONARYORDER, GENERALNUMERICSORT, IGNORECASE]",109.79,0.0,13.41,0,0,0,false,96.38,7.187,9289.104
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, MERGE, UNIQUE, CHECK, REVERSE, GENERALNUMERICSORT, IGNORECASE]",107.9,0.0,101.191,0,0,0,false,6.709,0.066,45.011
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMERICSORT, DICTIONARYORDER, IGNORECASE]",3.47,0.0,3.43,0,0,0,false,0.04,0.012,0.002
"false","[VERSIONSORT, NUMERICSORT, DICTIONARYORDER, GENERALNUMERICSORT]",34.71,0.0,3.447,0,0,0,false,31.263,9.07,977.375
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, NUMERICSORT]",3.47,0.0,3.487,0,0,0,false,0.017,0.005,0
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, GENERALNUMERICSORT]",109.79,0.0,13.193,0,0,0,false,96.597,7.322,9330.98
"false","[VERSIONSORT, MONTHSORT, NUMERICSORT, DICTIONARYORDER, IGNORECASE]",3.47,0.0,3.531,0,0,0,false,0.061,0.017,0.004
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, REVERSE]",70.62,0.0,51.088,0,0,0,false,19.532,0.382,381.499
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, REVERSE, GENERALNUMERICSORT, IGNORECASE]",101.86,0.0,126.645,0,0,0,false,24.785,0.196,614.296
"false","[VERSIONSORT, HUMANNUMERICSORT, NUMERICSORT, MERGE, UNIQUE, IGNORECASE]",78.55,0.0,13.881,0,0,0,false,64.669,4.659,4182.08
"false","[MONTHSORT, NUMERICSORT, MERGE, REVERSE, GENERALNUMERICSORT, IGNORECASE]",109.79,0.0,16.566,0,0,0,false,93.224,5.627,8690.714
"false","[IGNORELEADINGBLANKS, VERSIONSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",70.62,0.0,40.863,0,0,0,false,29.757,0.728,885.479
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MERGE, DICTIONARYORDER, GENERALNUMERICSORT, IGNORECASE]",176.94,0.0,286.027,0,0,0,false,109.087,0.381,11899.974
"false","[MONTHSORT, NUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMERICSORT, IGNORECASE]",-34.33,0.0,1.589,0,0,0,false,35.919,22.605,1290.175
"false","[VERSIONSORT, HUMANNUMERICSORT, NUMERICSORT, MERGE, UNIQUE, CHECK, REVERSE]",9.51,0.0,17.049,0,0,0,false,7.539,0.442,56.837
