measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",101.922,0.0,102.214,1.319,100.116,104.313,true,0.292,0.003,0.085
"false","[IGNORELEADINGBLANKS, MONTHSORT, NUMBERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",1.538,0.0,1.537,0.007,1.526,1.547,true,0.001,0.001,0
"true","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, CHECK]",13.56,0.0,13.221,0.135,13.006,13.435,false,0.339,0.026,0.115
"true","[MERGE]",152.218,0.0,138.88,2.312,135.201,142.559,false,13.338,0.096,177.902
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",28.681,0.0,29.801,0.406,29.155,30.448,false,1.12,0.038,1.254
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, NUMBERICSORT, CHECK]",1.533,0.0,1.542,0.003,1.538,1.547,false,0.009,0.006,0
"true","[IGNORELEADINGBLANKS, MERGE, UNIQUE, CHECK, GENERALNUMRICSORT, IGNORECASE]",291.389,0.0,287.669,2.21,284.153,291.185,false,3.72,0.013,13.838
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",132.07,0.0,130.928,3.536,125.301,136.555,true,1.142,0.009,1.304
"false","[VERSIONSORT, NUMBERICSORT, GENERALNUMRICSORT, IGNORECASE]",3.464,0.0,3.541,0.145,3.311,3.772,true,0.077,0.022,0.006
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",104.295,0.0,102.717,0.586,101.785,103.649,false,1.578,0.015,2.49
"false","[MONTHSORT, DICTIONARYORDER, GENERALNUMRICSORT]",101.652,0.0,102.413,1.761,99.611,105.215,true,0.761,0.007,0.579
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.531,0.0,1.531,0.009,1.516,1.546,true,0,0,0
"true","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.446,0.0,17.305,0.562,16.41,18.199,true,0.141,0.008,0.02
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",17.221,0.0,17.258,0.305,16.773,17.744,true,0.037,0.002,0.001
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, IGNORECASE]",3.456,0.0,3.516,0.072,3.401,3.631,true,0.06,0.017,0.004
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, CHECK]",1.57,0.0,1.569,0.006,1.56,1.579,true,0.001,0.001,0
"true","[CHECK, GENERALNUMRICSORT, IGNORECASE]",1.534,0.0,1.538,0.008,1.525,1.551,true,0.004,0.003,0
"true","[MERGE, NUMBERICSORT]",13.192,0.0,13.496,0.272,13.063,13.929,true,0.304,0.023,0.092
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.084,0.0,17.165,0.305,16.68,17.65,true,0.081,0.005,0.007
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",17.385,0.0,17.037,0.224,16.68,17.394,true,0.348,0.02,0.121
"false","[VERSIONSORT, UNIQUE, REVERSE, IGNORECASE]",69.837,0.0,85.173,20.902,51.913,118.433,true,15.336,0.18,235.193
"false","[VERSIONSORT, GENERALNUMRICSORT, IGNORECASE]",101.875,0.0,101.914,1.034,100.268,103.559,true,0.039,0,0.002
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, GENERALNUMRICSORT]",13.522,0.0,13.631,0.123,13.436,13.827,true,0.109,0.008,0.012
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",103.635,0.0,104.761,2.321,101.069,108.454,true,1.126,0.011,1.268
"false","[MONTHSORT, VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",103.884,0.0,103.59,2.202,100.087,107.094,true,0.294,0.003,0.086
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, GENERALNUMRICSORT]",287.545,0.0,288.866,1.063,287.175,290.557,true,1.321,0.005,1.745
"false","[VERSIONSORT, HUMANNUMERICSORT, REVERSE, GENERALNUMRICSORT]",103.753,0.0,103.557,1.13,101.76,105.354,true,0.196,0.002,0.038
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, CHECK]",1.533,0.0,1.535,0.002,1.532,1.538,true,0.002,0.001,0
"false","[MONTHSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",126.386,0.0,127.71,2.261,124.112,131.307,true,1.324,0.01,1.753
"false","[MONTHSORT, NUMBERICSORT]",3.516,0.0,3.505,0.024,3.466,3.543,true,0.011,0.003,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.135,0.0,16.875,0.385,16.263,17.487,true,0.26,0.015,0.068
"true","[MERGE, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT]",13.354,0.0,13.38,0.174,13.103,13.658,true,0.026,0.002,0.001
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK]",13.308,0.0,13.222,0.268,12.795,13.648,true,0.086,0.007,0.007
"true","[UNIQUE, CHECK, REVERSE, IGNORECASE]",1.561,0.0,1.57,0.002,1.567,1.574,false,0.009,0.006,0
"true","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",17.307,0.0,17.693,0.29,17.232,18.154,true,0.386,0.022,0.149
"false","[VERSIONSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER]",29.669,0.0,30.076,0.185,29.782,30.37,false,0.407,0.014,0.166
"false","[MONTHSORT, VERSIONSORT]",64.95,0.0,74.095,12.473,54.247,93.943,true,9.145,0.123,83.631
"false","[HUMANNUMERICSORT, NUMBERICSORT, REVERSE, GENERALNUMRICSORT]",5.122,0.0,4.833,0.102,4.671,4.994,false,0.289,0.06,0.084
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, IGNORECASE]",13.303,0.0,13.401,0.102,13.239,13.564,true,0.098,0.007,0.01
"true","[IGNORELEADINGBLANKS, MERGE, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",102.241,0.0,104.037,1.555,101.563,106.511,true,1.796,0.017,3.226
"false","[MONTHSORT, VERSIONSORT, CHECK, REVERSE, GENERALNUMRICSORT]",1.536,0.0,1.537,0.007,1.526,1.549,true,0.001,0.001,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",102.241,0.0,104.198,0.393,103.572,104.824,false,1.957,0.019,3.83
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, IGNORECASE]",149.834,0.0,146.136,8.091,133.261,159.011,true,3.698,0.025,13.675
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, IGNORECASE]",111.922,0.0,113.928,0.635,112.918,114.939,false,2.006,0.018,4.024
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.084,0.0,17.223,0.308,16.732,17.713,true,0.139,0.008,0.019
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.534,0.0,1.537,0.006,1.528,1.546,true,0.003,0.002,0
"false","[MONTHSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.533,0.0,1.535,0.004,1.528,1.542,true,0.002,0.001,0
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, GENERALNUMRICSORT]",285.615,0.0,287.175,2.357,283.425,290.925,true,1.56,0.005,2.434
"false","[VERSIONSORT, MERGE, DICTIONARYORDER, CHECK, IGNORECASE]",150.875,0.0,149.739,8.787,135.757,163.722,true,1.136,0.008,1.29
"false","[VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT]",1.539,0.0,1.537,0.006,1.527,1.547,true,0.002,0.001,0
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",4.924,0.0,4.802,0.08,4.675,4.929,true,0.122,0.025,0.015
