measured,configuration,pair_wise,pair_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",187.39,0.0,130.928,3.536,125.301,136.555,false,56.462,0.431,3187.957
"false","[VERSIONSORT, NUMBERICSORT, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,3.541,0.145,3.311,3.772,false,3.541,1,12.539
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",241.94,0.0,102.717,0.586,101.785,103.649,false,139.223,1.355,19383.044
"false","[MONTHSORT, DICTIONARYORDER, GENERALNUMRICSORT]",106.21,0.0,102.413,1.761,99.611,105.215,false,3.797,0.037,14.417
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",107.96,0.0,1.531,0.009,1.516,1.546,false,106.429,69.516,11327.132
"false","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",65.72,0.0,17.305,0.562,16.41,18.199,false,48.415,2.798,2344.012
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",41.98,0.0,17.258,0.305,16.773,17.744,false,24.722,1.432,611.177
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, IGNORECASE]",0.0,0.0,3.516,0.072,3.401,3.631,false,3.516,1,12.362
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, CHECK]",1.56,0.0,1.569,0.006,1.56,1.579,true,0.009,0.006,0
"false","[CHECK, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.538,0.008,1.525,1.551,false,1.538,1,2.365
"true","[MERGE, NUMBERICSORT]",13.63,0.0,13.496,0.272,13.063,13.929,true,0.134,0.01,0.018
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",165.9,0.0,17.165,0.305,16.68,17.65,false,148.735,8.665,22122.1
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",0.0,0.0,17.037,0.224,16.68,17.394,false,17.037,1,290.259
"false","[VERSIONSORT, UNIQUE, REVERSE, IGNORECASE]",94.57,0.0,85.173,20.902,51.913,118.433,true,9.397,0.11,88.304
"false","[VERSIONSORT, GENERALNUMRICSORT, IGNORECASE]",96.1,0.0,101.914,1.034,100.268,103.559,false,5.814,0.057,33.803
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, GENERALNUMRICSORT]",143.85,0.0,13.631,0.123,13.436,13.827,false,130.219,9.553,16956.988
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",235.72,0.0,104.761,2.321,101.069,108.454,false,130.959,1.25,17150.26
"false","[MONTHSORT, VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",249.04,0.0,103.59,2.202,100.087,107.094,false,145.45,1.404,21155.702
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, GENERALNUMRICSORT]",320.07,0.0,288.866,1.063,287.175,290.557,false,31.204,0.108,973.69
"false","[VERSIONSORT, HUMANNUMERICSORT, REVERSE, GENERALNUMRICSORT]",106.21,0.0,103.557,1.13,101.76,105.354,false,2.653,0.026,7.038
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, CHECK]",27.25,0.0,1.535,0.002,1.532,1.538,false,25.715,16.752,661.261
"false","[MONTHSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",136.86,0.0,127.71,2.261,124.112,131.307,false,9.15,0.072,83.723
"true","[MONTHSORT, NUMBERICSORT]",7.52,0.0,3.505,0.024,3.466,3.543,false,4.015,1.146,16.12
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",104.1,0.0,16.875,0.385,16.263,17.487,false,87.225,5.169,7608.201
"false","[MERGE, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT]",161.04,0.0,13.38,0.174,13.103,13.658,false,147.66,11.036,21803.476
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK]",140.23,0.0,13.222,0.268,12.795,13.648,false,127.008,9.606,16131.032
"false","[UNIQUE, CHECK, REVERSE, IGNORECASE]",22.7,0.0,1.57,0.002,1.567,1.574,false,21.13,13.459,446.477
"false","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",43.35,0.0,17.693,0.29,17.232,18.154,false,25.657,1.45,658.282
"false","[VERSIONSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER]",16.8,0.0,30.076,0.185,29.782,30.37,false,13.276,0.441,176.252
"true","[MONTHSORT, VERSIONSORT]",73.97,0.0,74.095,12.473,54.247,93.943,true,0.125,0.002,0.016
"false","[HUMANNUMERICSORT, NUMBERICSORT, REVERSE, GENERALNUMRICSORT]",3.48,0.0,4.833,0.102,4.671,4.994,false,1.353,0.28,1.831
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, IGNORECASE]",152.83,0.0,13.401,0.102,13.239,13.564,false,139.429,10.404,19440.446
"false","[IGNORELEADINGBLANKS, MERGE, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",197.34,0.0,104.037,1.555,101.563,106.511,false,93.303,0.897,8705.45
"false","[MONTHSORT, VERSIONSORT, CHECK, REVERSE, GENERALNUMRICSORT]",1.52,0.0,1.537,0.007,1.526,1.549,false,0.017,0.011,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",197.34,0.0,104.198,0.393,103.572,104.824,false,93.142,0.894,8675.432
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, IGNORECASE]",151.91,0.0,146.136,8.091,133.261,159.011,true,5.774,0.04,33.339
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, IGNORECASE]",121.64,0.0,113.928,0.635,112.918,114.939,false,7.712,0.068,59.475
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",163.52,0.0,17.223,0.308,16.732,17.713,false,146.297,8.494,21402.812
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",97.37,0.0,1.537,0.006,1.528,1.546,false,95.833,62.351,9183.964
"false","[MONTHSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",82.7,0.0,1.535,0.004,1.528,1.542,false,81.165,52.876,6587.757
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, GENERALNUMRICSORT]",324.79,0.0,287.175,2.357,283.425,290.925,false,37.615,0.131,1414.888
"false","[VERSIONSORT, MERGE, DICTIONARYORDER, CHECK, IGNORECASE]",148.53,0.0,149.739,8.787,135.757,163.722,true,1.209,0.008,1.462
"false","[VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT]",39.9,0.0,1.537,0.006,1.527,1.547,false,38.363,24.96,1471.72
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",14.82,0.0,4.802,0.08,4.675,4.929,false,10.018,2.086,100.36
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT, IGNORECASE]",283.35,0.0,13.341,0.467,12.597,14.085,false,270.009,20.239,72904.86
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT]",172.16,0.0,104.161,0.933,102.676,105.645,false,67.999,0.653,4623.864
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, CHECK]",138.31,0.0,148.787,6.498,138.447,159.127,false,10.477,0.07,109.768
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, REVERSE, GENERALNUMRICSORT]",242.02,0.0,104.148,0.847,102.8,105.495,false,137.872,1.324,19008.688
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",67.87,0.0,17.393,0.246,17.002,17.785,false,50.477,2.902,2547.928
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT]",13.63,0.0,13.198,0.127,12.996,13.401,false,0.432,0.033,0.187
"false","[IGNORELEADINGBLANKS, REVERSE, GENERALNUMRICSORT, IGNORECASE]",113.06,0.0,103.082,0.905,101.642,104.522,false,9.978,0.097,99.56
"false","[VERSIONSORT, MERGE, CHECK, GENERALNUMRICSORT, IGNORECASE]",260.43,0.0,284.816,4.927,276.976,292.656,false,24.386,0.086,594.677
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, REVERSE, GENERALNUMRICSORT]",176.63,0.0,104.21,2.711,99.896,108.524,false,72.42,0.695,5244.656
"false","[VERSIONSORT, REVERSE, GENERALNUMRICSORT]",106.21,0.0,103.646,0.482,102.879,104.414,false,2.564,0.025,6.574
"true","[MONTHSORT, CHECK]",2.1,0.0,1.569,0.004,1.563,1.576,false,0.531,0.338,0.282
"false","[IGNORELEADINGBLANKS, VERSIONSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",55.02,0.0,41.287,0.842,39.947,42.628,false,13.733,0.333,188.595
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, IGNORECASE]",160.02,0.0,113.27,0.554,112.388,114.152,false,46.75,0.413,2185.563
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",366.49,0.0,289.897,3.722,283.975,295.819,false,76.593,0.264,5866.488
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, IGNORECASE]",181.93,0.0,13.243,0.272,12.809,13.676,false,168.687,12.738,28455.304
"false","[VERSIONSORT, DICTIONARYORDER, REVERSE]",73.97,0.0,71.167,11.314,53.163,89.17,true,2.803,0.039,7.857
"false","[VERSIONSORT, UNIQUE, GENERALNUMRICSORT]",115.49,0.0,126.949,0.776,125.714,128.184,false,11.459,0.09,131.309
"true","[HUMANNUMERICSORT]",73.97,0.0,79.528,9.418,64.543,94.514,true,5.558,0.07,30.891
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",113.8,0.0,17.243,0.134,17.03,17.456,false,96.557,5.6,9323.254
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, REVERSE]",0.0,0.0,17.215,0.408,16.565,17.864,false,17.215,1,296.356
"true","[DICTIONARYORDER, GENERALNUMRICSORT]",106.21,0.0,102.091,0.476,101.334,102.848,false,4.119,0.04,16.966
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, IGNORECASE]",23.72,0.0,17.271,0.137,17.052,17.49,false,6.449,0.373,41.59
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",93.58,0.0,17.582,0.414,16.924,18.241,false,75.998,4.322,5775.696
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",85.01,0.0,30.18,0.195,29.871,30.49,false,54.83,1.817,3006.329
"true","[IGNORELEADINGBLANKS, CHECK]",1.56,0.0,1.567,0.005,1.56,1.575,true,0.007,0.004,0
"false","[MERGE, DICTIONARYORDER, CHECK, REVERSE]",28.53,0.0,30.534,3.679,24.68,36.388,true,2.004,0.066,4.016
"false","[VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",217.56,0.0,102.549,1.985,99.391,105.708,false,115.011,1.122,13227.53
"false","[MERGE, CHECK, GENERALNUMRICSORT, IGNORECASE]",260.43,0.0,285.437,4.17,278.802,292.073,false,25.007,0.088,625.35
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, IGNORECASE]",23.85,0.0,13.32,0.049,13.242,13.397,false,10.53,0.791,110.881
"false","[VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",29.79,0.0,1.537,0.007,1.526,1.548,false,28.253,18.382,798.232
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MERGE, NUMBERICSORT]",9.61,0.0,13.318,0.203,12.995,13.641,false,3.708,0.278,13.749
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",53.53,0.0,29.559,0.999,27.97,31.148,false,23.971,0.811,574.609
"false","[MONTHSORT, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT]",5.44,0.0,1.531,0.01,1.515,1.547,false,3.909,2.553,15.28
"false","[MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",7.29,0.0,17.355,0.2,17.036,17.673,false,10.065,0.58,101.304
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",113.8,0.0,17.412,0.079,17.287,17.537,false,96.388,5.536,9290.647
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",75.0,0.0,17.366,0.275,16.929,17.803,false,57.634,3.319,3321.678
"false","[IGNORELEADINGBLANKS, UNIQUE, REVERSE, GENERALNUMRICSORT]",111.02,0.0,130.805,2.111,127.445,134.165,false,19.785,0.151,391.446
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, REVERSE, IGNORECASE]",130.04,0.0,34.842,2.239,31.279,38.404,false,95.198,2.732,9062.659
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",125.14,0.0,17.245,0.392,16.621,17.869,false,107.895,6.257,11641.331
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, CHECK, IGNORECASE]",147.99,0.0,112.512,1.211,110.585,114.438,false,35.478,0.315,1258.688
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",286.41,0.0,289.052,1.895,286.036,292.067,true,2.642,0.009,6.98
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",281.94,0.0,291.353,3.686,285.488,297.219,false,9.413,0.032,88.605
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK]",146.0,0.0,13.323,0.122,13.129,13.516,false,132.677,9.958,17603.186
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",17.14,0.0,1.538,0.015,1.514,1.562,false,15.602,10.144,243.422
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",130.01,0.0,127.103,1.027,125.468,128.738,false,2.907,0.023,8.451
