measured,configuration,performance,std
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, CLOCK]",5.661,0.064
true,"[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",19.636,0.666
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",8.898,0.252
true,"[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",55.87,0.58
true,"[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",8.371,0.402
true,"[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",69.06,0.387
true,"[MONITOR, JOURNALSERIALIZER]",15.122,0.398
true,"[DEEPCOPY, JOURNALSERIALIZER, CLOCK]",25.677,0.269
true,"[FILEAGETHRESHOLD, MONITOR, SNAPSHOTSERIALIZER]",11.553,0.337
true,"[DEEPCOPY, TRANSIENTMODE, SNAPSHOTSERIALIZER]",7.985,0.256
true,"[DEEPCOPY, FILEAGETHRESHOLD, JOURNALSERIALIZER, FILESIZETHRESHOLD]",29.759,0.7
true,"[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD]",5.762,0.076
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",5.661,0.303
true,"[FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",54.734,0.832
true,"[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, CLOCK]",61.52,0.636
true,"[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",17.863,0.393
true,"[DEEPCOPY, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",18.589,0.364
true,"[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, CLOCK]",8.283,0.121
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD]",5.695,0.261
true,"[FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",19.014,0.523
true,"[DEEPCOPY, FILEAGETHRESHOLD]",15.17,0.388
true,"[DEEPCOPY, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",8.029,0.273
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",5.616,0.262
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",8.755,0.235
true,"[FILEAGETHRESHOLD, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",47.852,0.285
true,"[DEEPCOPY, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",49.807,0.771
true,"[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",68.75,0.818
true,"[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",25.99,0.455
true,"[DISKSYNC, CLOCK]",43.682,0.6
true,"[DEEPCOPY, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",25.716,0.326
true,"[DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",25.625,0.356
true,"[DISKSYNC, JOURNALSERIALIZER, CLOCK]",49.523,0.419
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",18.548,0.375
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER]",9.276,0.339
true,"[FILEAGETHRESHOLD, MONITOR, DISKSYNC, FILESIZETHRESHOLD]",48.028,0.442
true,"[TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",8.436,0.476
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, FILESIZETHRESHOLD]",8.942,0.262
true,"[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",62.785,0.926
true,"[DEEPCOPY, MONITOR, JOURNALSERIALIZER, CLOCK]",25.622,0.569
true,"[FILEAGETHRESHOLD, TRANSIENTMODE]",5.657,0.225
true,"[MONITOR, DISKSYNC]",43.752,0.945
true,"[FILEAGETHRESHOLD, DISKSYNC, SNAPSHOTSERIALIZER]",43.554,0.629
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER]",8.586,0.149
true,"[DEEPCOPY, FILEAGETHRESHOLD, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",25.331,0.511
true,"[FILEAGETHRESHOLD, CLOCK]",10.856,0.263
true,"[DEEPCOPY, SNAPSHOTSERIALIZER, CLOCK]",14.385,0.368
true,"[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, FILESIZETHRESHOLD]",8.697,0.222
true,"[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",8.144,0.291
true,"[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER]",62.278,1.331
true,"[FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",48.013,0.342
true,"[JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",18.547,0.43
true,"[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",69.633,0.55
true,"[DEEPCOPY, FILEAGETHRESHOLD, CLOCK]",15.502,0.458
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.184,0.271
true,"[FILEAGETHRESHOLD, MONITOR, DISKSYNC]",43.477,0.58
true,"[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",49.599,0.744
true,"[DEEPCOPY, MONITOR, CLOCK]",14.697,0.303
true,"[FILEAGETHRESHOLD, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",14.081,0.285
true,"[DEEPCOPY, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",50.628,0.396
true,"[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC]",8.135,0.343
true,"[TRANSIENTMODE, JOURNALSERIALIZER, CLOCK]",8.398,0.234
true,"[FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",50.208,0.473
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",8.516,0.368
true,"[DEEPCOPY, TRANSIENTMODE, DISKSYNC, CLOCK]",8.279,0.243
true,"[MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",54.204,0.759
true,"[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",49.685,0.561
true,"[TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.683,0.236
true,"[FILEAGETHRESHOLD, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",14.87,0.238
true,"[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER]",62.42,0.655
true,"[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",68.972,0.611
true,"[DEEPCOPY, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",25.984,0.5
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",18.92,0.455
true,"[DEEPCOPY, FILEAGETHRESHOLD, FILESIZETHRESHOLD, CLOCK]",19.138,0.478
true,"[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",50.887,0.216
true,"[DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",55.781,0.487
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",18.557,0.388
true,"[JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",18.506,0.408
true,"[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",55.741,1.193
true,"[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",54.707,0.572
true,"[DEEPCOPY, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD]",30.946,0.846
true,"[FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, CLOCK]",11.078,0.204
true,"[FILEAGETHRESHOLD, MONITOR]",11.294,0.745
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, CLOCK]",18.319,0.341
true,"[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",8.377,0.045
true,"[TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER]",5.597,0.04
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.031,0.381
