measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES, IGNORECASE]",1.63,0.0,1.477,0.078,0.153,0.104,0.023
"true","[COUNT, LINENUMBER]",1.35,0.0,1.467,0.121,0.117,0.08,0.014
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",0.42,0.0,1.584,0.045,1.164,0.735,1.355
"false","[INVERTMATCH, WHOLELINE, MATCHINGFILES]",0.0,0.0,0.047,0.001,0.047,1,0.002
"false","[INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",20.63,0.0,0.552,0.018,20.078,36.373,403.126
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",20.63,0.0,0.689,0.02,19.941,28.942,397.643
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",20.17,0.0,0.668,0.033,19.502,29.195,380.328
"false","[COUNT, MATCHINGFILES, IGNORECASE]",1.0,0.0,20.294,0.242,19.294,0.951,372.258
"false","[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES]",0.26,0.0,0.661,0.04,0.401,0.607,0.161
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, IGNORECASE]",1.1,0.0,0.539,0.011,0.561,1.041,0.315
"false","[INVERTMATCH, MATCHINGFILES, IGNORECASE]",0.0,0.0,0.053,0.002,0.053,1,0.003
"true","[FIXEDSTRINGS, WHOLELINE]",0.72,0.0,0.536,0.02,0.184,0.343,0.034
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",0.42,0.0,0.05,0.001,0.37,7.4,0.137
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT]",0.72,0.0,0.68,0.007,0.04,0.059,0.002
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, IGNORECASE]",1.1,0.0,1.48,0.035,0.38,0.257,0.144
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER]",20.88,0.0,0.549,0.017,20.331,37.033,413.35
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",1.63,0.0,1.478,0.021,0.152,0.103,0.023
"false","[WHOLELINE, MATCHINGFILES, IGNORECASE]",0.01,0.0,9.346,0.393,9.336,0.999,87.161
"true","[COUNT, IGNORECASE]",0.47,0.0,20.824,0.304,20.354,0.977,414.285
"true","[INVERTMATCH, IGNORECASE]",0.47,0.0,0.592,0.026,0.122,0.206,0.015
"false","[INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",0.47,0.0,10.104,0.246,9.634,0.953,92.814
"true","[FIXEDSTRINGS, INVERTMATCH]",0.72,0.0,0.542,0.061,0.178,0.328,0.032
"false","[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES]",0.04,0.0,0.047,0.007,0.007,0.149,0
"true","[WHOLELINE, IGNORECASE]",0.47,0.0,0.602,0.014,0.132,0.219,0.017
"false","[FIXEDSTRINGS, COUNT, MATCHINGFILES]",1.25,0.0,0.697,0.012,0.553,0.793,0.306
"true","[FIXEDSTRINGS, COUNT]",0.72,0.0,0.762,0.021,0.042,0.055,0.002
"false","[FIXEDSTRINGS, WHOLELINE, LINENUMBER]",20.88,0.0,0.585,0.014,20.295,34.692,411.887
"false","[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",0.0,0.0,10.06,0.598,10.06,1,101.204
"false","[INVERTMATCH, LINENUMBER, IGNORECASE]",1.1,0.0,0.58,0.017,0.52,0.897,0.27
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES]",0.67,0.0,0.046,0.001,0.624,13.565,0.389
"false","[INVERTMATCH, COUNT, LINENUMBER]",1.35,0.0,1.652,0.044,0.302,0.183,0.091
"false","[WHOLELINE, COUNT, LINENUMBER]",20.88,0.0,0.747,0.013,20.133,26.952,405.338
"true","[FIXEDSTRINGS, IGNORECASE]",0.47,0.0,0.549,0.017,0.079,0.144,0.006
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES]",0.0,0.0,0.048,0.001,0.048,1,0.002
"false","[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES]",20.42,0.0,0.716,0.018,19.704,27.52,388.248
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE]",0.72,0.0,0.535,0.02,0.185,0.346,0.034
"false","[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",0.67,0.0,1.598,0.054,0.928,0.581,0.861
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER]",1.35,0.0,0.549,0.013,0.801,1.459,0.642
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",0.0,0.0,0.711,0.018,0.711,1,0.506
"false","[WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",20.17,0.0,10.215,0.779,9.955,0.975,99.102
"true","[LINENUMBER, MATCHINGFILES]",1.88,0.0,1.577,0.069,0.303,0.192,0.092
"false","[INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",0.42,0.0,0.054,0.001,0.366,6.778,0.134
"true","[LINENUMBER]",1.35,0.0,0.577,0.016,0.773,1.34,0.598
"false","[WHOLELINE, LINENUMBER, IGNORECASE]",20.63,0.0,0.538,0.008,20.092,37.346,403.688
"true","[WHOLELINE, COUNT]",0.72,0.0,0.834,0.026,0.114,0.137,0.013
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",19.21,0.0,0.67,0.035,18.54,27.672,343.732
"false","[COUNT, LINENUMBER, MATCHINGFILES]",1.88,0.0,1.766,0.068,0.114,0.065,0.013
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",0.0,0.0,1.478,0.039,1.478,1,2.184
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, IGNORECASE]",0.47,0.0,1.555,0.032,1.085,0.698,1.177
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",18.96,0.0,10.09,0.537,8.87,0.879,78.677
"false","[WHOLELINE, COUNT, MATCHINGFILES]",0.26,0.0,0.851,0.044,0.591,0.694,0.349
"false","[FIXEDSTRINGS, MATCHINGFILES, IGNORECASE]",1.0,0.0,1.51,0.125,0.51,0.338,0.26
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",20.63,0.0,9.941,0.62,10.689,1.075,114.255
"false","[INVERTMATCH, COUNT, MATCHINGFILES]",0.04,0.0,1.626,0.043,1.586,0.975,2.515
"true","[INVERTMATCH, COUNT]",0.72,0.0,1.691,0.086,0.971,0.574,0.943
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",20.88,0.0,0.67,0.017,20.21,30.164,408.444
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, IGNORECASE]",0.47,0.0,0.668,0.02,0.198,0.296,0.039
"false","[INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",0.0,0.0,0.048,0.001,0.048,1,0.002
"false","[INVERTMATCH, WHOLELINE, IGNORECASE]",0.47,0.0,0.599,0.016,0.129,0.215,0.017
"true","[MATCHINGFILES]",1.25,0.0,1.51,0.04,0.26,0.172,0.068
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",0.01,0.0,0.692,0.02,0.682,0.986,0.465

MSE: 138.171
RMSE: 11.755
MAPE: 2379.405
