measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[COUNT, LINENUMBER]",3.831,0,3.862,0.072,3.748,3.976,true,0.031,0.008,0.001
"true","[INVERTMATCH, WHOLELINE, MATCHINGFILES]",2.313,0,2.341,0.015,2.318,2.365,false,0.028,0.012,0.001
"true","[INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",2.909,0,2.921,0.015,2.897,2.944,true,0.012,0.004,0
"true","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.061,0,3.081,0.039,3.019,3.143,true,0.02,0.006,0
"true","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.038,0,3.059,0.005,3.052,3.067,false,0.021,0.007,0
"true","[COUNT, MATCHINGFILES, IGNORECASE]",23.68,0,23.604,0.191,23.3,23.909,true,0.076,0.003,0.006
"true","[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES]",3.024,0,3.045,0.028,3,3.09,true,0.021,0.007,0
"true","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, IGNORECASE]",2.903,0,2.937,0.035,2.881,2.994,true,0.034,0.012,0.001
"true","[INVERTMATCH, MATCHINGFILES, IGNORECASE]",2.321,0,2.353,0.017,2.327,2.379,false,0.032,0.014,0.001
"true","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.329,0,2.35,0.012,2.33,2.37,false,0.021,0.009,0
"true","[FIXEDSTRINGS, WHOLELINE]",2.924,0,2.919,0.011,2.902,2.936,true,0.005,0.002,0
"true","[FIXEDSTRINGS, COUNT, LINENUMBER, IGNORECASE]",3.986,0,3.891,0.067,3.785,3.996,true,0.095,0.024,0.009
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT]",3.055,0,3.084,0.025,3.043,3.124,true,0.029,0.009,0.001
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER]",2.946,0,2.91,0.005,2.903,2.918,false,0.036,0.012,0.001
"true","[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.527,0,3.922,0.146,3.691,4.154,false,0.395,0.101,0.156
"true","[WHOLELINE, MATCHINGFILES, IGNORECASE]",10.858,0,11.906,0.577,10.988,12.825,false,1.048,0.088,1.098
"true","[COUNT, IGNORECASE]",24.122,0,22.295,1.463,19.967,24.622,true,1.827,0.082,3.338
"true","[INVERTMATCH, IGNORECASE]",2.906,0,2.922,0.02,2.89,2.954,true,0.016,0.005,0
"true","[INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",10.715,0,11.925,0.849,10.573,13.276,true,1.21,0.101,1.464
"true","[FIXEDSTRINGS, INVERTMATCH]",2.905,0,2.912,0.022,2.877,2.948,true,0.007,0.002,0
"true","[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES]",2.335,0,2.352,0.012,2.332,2.371,true,0.017,0.007,0
"true","[WHOLELINE, IGNORECASE]",2.924,0,2.911,0.027,2.868,2.953,true,0.013,0.004,0
"true","[FIXEDSTRINGS, COUNT, MATCHINGFILES]",3.101,0,3.108,0.053,3.024,3.193,true,0.007,0.002,0
"true","[FIXEDSTRINGS, COUNT]",3.064,0,3.089,0.032,3.038,3.141,true,0.025,0.008,0.001
"true","[FIXEDSTRINGS, WHOLELINE, LINENUMBER]",2.917,0,2.916,0.023,2.88,2.952,true,0.001,0,0
"true","[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",10.811,0,10.831,0.172,10.558,11.104,true,0.02,0.002,0
"true","[INVERTMATCH, LINENUMBER, IGNORECASE]",2.912,0,2.931,0.029,2.885,2.977,true,0.019,0.006,0
