measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[FIXEDSTRINGS, COUNT]",3.104,0.027,3.104,0.027,0,0,0
"false","[FIXEDSTRINGS, WHOLELINE, LINENUMBER]",2.922,0.009,2.949,0.018,0.027,0.009,0.001
"false","[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",12.374,0.817,10.832,0.133,1.542,0.142,2.378
"false","[INVERTMATCH, LINENUMBER, IGNORECASE]",2.899,0.017,2.974,0.024,0.075,0.025,0.006
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.346,0.012,2.346,0.013,0,0,0
"false","[INVERTMATCH, COUNT, LINENUMBER]",3.819,0.033,3.802,0.034,0.017,0.004,0
"false","[WHOLELINE, COUNT, LINENUMBER]",3.15,0.024,3.158,0.033,0.008,0.003,0
"true","[FIXEDSTRINGS, IGNORECASE]",2.948,0.03,2.948,0.03,0,0,0
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES]",2.353,0.017,2.353,0.017,0,0,0
"false","[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES]",3.078,0.023,3.045,0.036,0.033,0.011,0.001
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE]",2.958,0.018,2.958,0.018,0,0,0
"false","[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",3.819,0.033,3.85,0.073,0.031,0.008,0.001
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER]",2.905,0.017,2.957,0.029,0.052,0.018,0.003
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",3.075,0.023,3.081,0.018,0.006,0.002,0
"false","[WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",12.14,0.613,13.612,1.149,1.472,0.108,2.167
"false","[INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.362,0.018,2.354,0.014,0.008,0.003,0
"false","[LINENUMBER, MATCHINGFILES]",3.764,0.074,3.864,0.04,0.1,0.026,0.01
"false","[LINENUMBER]",2.993,0.05,2.955,0.033,0.038,0.013,0.001
"false","[WHOLELINE, LINENUMBER, IGNORECASE]",2.919,0.021,2.883,0.022,0.036,0.012,0.001
"true","[WHOLELINE, COUNT]",3.15,0.024,3.15,0.024,0,0,0
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.075,0.023,3.157,0.028,0.082,0.026,0.007
"false","[COUNT, LINENUMBER, MATCHINGFILES]",3.82,0.085,3.814,0.018,0.006,0.002,0
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",3.971,0.125,3.929,0.047,0.042,0.011,0.002
"true","[FIXEDSTRINGS, INVERTMATCH, COUNT, IGNORECASE]",3.971,0.125,3.971,0.125,0,0,0
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",12.374,0.817,10.626,0.856,1.748,0.165,3.056
"false","[WHOLELINE, COUNT, MATCHINGFILES]",3.15,0.024,3.141,0.032,0.009,0.003,0
