measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.224,0.0,2.339,0.01,2.322,2.355,false,0.115,0.049,0.013
"true","[FIXEDSTRINGS, WHOLELINE, COUNT]",2.982,0.0,3.046,0.019,3.017,3.076,false,0.064,0.021,0.004
"false","[FIXEDSTRINGS, LINENUMBER, IGNORECASE]",2.835,0.0,2.897,0.018,2.869,2.926,false,0.062,0.021,0.004
"true","[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES]",2.952,0.0,3.076,0.034,3.022,3.129,false,0.124,0.04,0.015
"false","[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.727,0.0,3.687,0.192,3.382,3.992,true,0.04,0.011,0.002
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.87,0.0,3.97,0.089,3.828,4.111,true,0.1,0.025,0.01
"false","[COUNT, LINENUMBER]",3.811,0.0,3.862,0.072,3.748,3.976,true,0.051,0.013,0.003
"true","[INVERTMATCH, WHOLELINE, MATCHINGFILES]",2.221,0.0,2.341,0.015,2.318,2.365,false,0.12,0.051,0.014
"false","[INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",2.861,0.0,2.921,0.015,2.897,2.944,false,0.06,0.021,0.004
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",2.992,0.0,3.081,0.039,3.019,3.143,false,0.089,0.029,0.008
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.962,0.0,3.059,0.005,3.052,3.067,false,0.097,0.032,0.009
"true","[COUNT, MATCHINGFILES, IGNORECASE]",20.054,0.0,23.604,0.191,23.3,23.909,false,3.55,0.15,12.603
"true","[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES]",2.964,0.0,3.045,0.028,3,3.09,false,0.081,0.027,0.007
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, IGNORECASE]",2.854,0.0,2.937,0.035,2.881,2.994,false,0.083,0.028,0.007
"true","[INVERTMATCH, MATCHINGFILES, IGNORECASE]",2.227,0.0,2.353,0.017,2.327,2.379,false,0.126,0.054,0.016
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.226,0.0,2.35,0.012,2.33,2.37,false,0.124,0.053,0.015
"true","[FIXEDSTRINGS, WHOLELINE]",2.861,0.0,2.919,0.011,2.902,2.936,false,0.058,0.02,0.003
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, IGNORECASE]",3.745,0.0,3.891,0.067,3.785,3.996,false,0.146,0.038,0.021
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT]",2.987,0.0,3.084,0.025,3.043,3.124,false,0.097,0.031,0.009
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER]",2.965,0.0,2.91,0.005,2.903,2.918,false,0.055,0.019,0.003
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.724,0.0,3.922,0.146,3.691,4.154,true,0.198,0.05,0.039
"true","[WHOLELINE, MATCHINGFILES, IGNORECASE]",11.059,0.0,11.906,0.577,10.988,12.825,true,0.847,0.071,0.717
