DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,9.973
1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,7.802
1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,6.964
1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,6.745
1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,4.434
1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,6.699
1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,6.758
1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,6.574
0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,10.413
1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,14.981
0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,23.331
1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,8.03
0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,5.209
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,11.741
0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,10.558
1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,7.72
1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,14.929
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,11.119
0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,11.831
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,7.224
0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,18.473
0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,23.254
1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,5.373
0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,11.143
1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,14.867
0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,11.879
0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,9.959
0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,11.068
1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,21.43
0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,4.82
1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,21.379
0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,11.682
0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,10.653
0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,18.652
1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,8.002
1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,6.578
1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,4.869
1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,14.887
0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,10.531
1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,8.091
0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,10.983
1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,21.225
1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,4.824
0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,11.902
1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,7.033
0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,10.421
1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,6.632
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,10.642
0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,11.729
0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,5.218
1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,5.442
0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,9.953
1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,7.268
0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,10.695
1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,6.794
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,14.774
