measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,absolute error,relative % error,squared error
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",9.842,0.0,18.333,0.433,8.491,46.315,72.097
"true","[MONITOR, JOURNALSERIALIZER]",16.19,0.0,15.122,0.398,1.068,7.063,1.141
"true","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",10.029,0.0,8.377,0.045,1.652,19.721,2.729
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",10.358,0.0,17.39,0.442,7.032,40.437,49.449
"true","[MONITOR, JOURNALSERIALIZER, CLOCK]",16.243,0.0,16.592,0.622,0.349,2.103,0.122
"true","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.96,0.0,8.964,0.264,0.996,11.111,0.992
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",10.005,0.0,8.898,0.252,1.107,12.441,1.225
"false","[FILEAGETHRESHOLD, DEEPCOPY, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",20.36,0.0,31.03,1.099,10.67,34.386,113.849
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.958,0.0,8.549,0.151,1.409,16.481,1.985
"false","[FILEAGETHRESHOLD, DEEPCOPY, FILESIZETHRESHOLD, CLOCK]",16.113,0.0,19.138,0.478,3.025,15.806,9.151
"true","[TRANSIENTMODE]",6.276,0.0,5.659,0.026,0.617,10.903,0.381
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",6.367,0.0,5.704,0.215,0.663,11.623,0.44
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD]",6.391,0.0,8.276,0.256,1.885,22.777,3.553
"false","[DEEPCOPY, FILESIZETHRESHOLD]",15.773,0.0,19.105,0.232,3.332,17.44,11.102
"true","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",10.342,0.0,8.144,0.291,2.198,26.989,4.831
"false","[FILEAGETHRESHOLD, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",16.455,0.0,14.728,0.34,1.727,11.726,2.983
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.907,0.0,17.763,0.43,7.856,44.227,61.717
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",9.936,0.0,18.679,0.452,8.743,46.807,76.44
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.318,0.0,8.359,0.078,1.959,23.436,3.838
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",6.369,0.0,8.951,0.283,2.582,28.846,6.667
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",9.88,0.0,18.578,0.253,8.698,46.819,75.655
"true","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",48.115,0.0,47.771,0.264,0.344,0.72,0.118
"false","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",16.671,0.0,15.304,0.546,1.367,8.932,1.869
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER]",49.435,0.0,62.278,1.331,12.843,20.622,164.943
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",9.884,0.0,8.647,0.518,1.237,14.306,1.53
"false","[FILEAGETHRESHOLD, DEEPCOPY, FILESIZETHRESHOLD]",15.536,0.0,18.488,0.533,2.952,15.967,8.714
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.962,0.0,8.869,0.344,1.093,12.324,1.195
"true","[FILEAGETHRESHOLD, MONITOR, CLOCK]",12.145,0.0,10.928,0.239,1.217,11.137,1.481
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",10.371,0.0,18.521,0.114,8.15,44.004,66.422
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",10.429,0.0,8.438,0.152,1.991,23.596,3.964
"true","[DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",53.643,0.0,55.781,0.487,2.138,3.833,4.571
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",9.618,0.0,18.704,0.422,9.086,48.578,82.555
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",6.907,0.0,5.633,0.073,1.274,22.617,1.623
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",6.34,0.0,6.13,0.26,0.21,3.426,0.044
"false","[DISKSYNC, SNAPSHOTSERIALIZER]",43.929,0.0,42.857,0.925,1.072,2.501,1.149
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.914,0.0,9.031,0.381,0.883,9.777,0.78
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.98,0.0,18.682,0.137,8.702,46.58,75.725
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",10.36,0.0,18.373,0.179,8.013,43.613,64.208
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.79,0.0,8.352,0.261,1.438,17.217,2.068
"false","[TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.466,0.0,6.161,0.187,0.305,4.95,0.093
"false","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",15.838,0.0,14.796,0.344,1.042,7.042,1.086
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD]",18.885,0.0,8.457,0.136,10.428,123.306,108.743
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.916,0.0,18.2,0.401,8.284,45.516,68.625
"true","[MONITOR, FILESIZETHRESHOLD, CLOCK]",15.591,0.0,14.878,0.544,0.713,4.792,0.508
"false","[FILEAGETHRESHOLD, DEEPCOPY, SNAPSHOTSERIALIZER, CLOCK]",13.483,0.0,15.439,0.576,1.956,12.669,3.826
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, CLOCK]",49.42,0.0,48.908,0.485,0.512,1.047,0.262
"false","[DEEPCOPY, SNAPSHOTSERIALIZER]",12.64,0.0,15.274,0.424,2.634,17.245,6.938
"true","[JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",21.877,0.0,18.547,0.43,3.33,17.954,11.089
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.901,0.0,8.339,0.283,1.562,18.731,2.44
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",6.213,0.0,7.978,0.399,1.765,22.123,3.115
"false","[FILEAGETHRESHOLD, DEEPCOPY, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",15.538,0.0,18.492,0.744,2.954,15.974,8.726
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",54.01,0.0,55.955,0.563,1.945,3.476,3.783
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",9.65,0.0,8.637,0.379,1.013,11.729,1.026
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.742,0.0,8.687,0.109,1.945,22.39,3.783
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",49.145,0.0,62.228,0.62,13.083,21.024,171.165
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER]",49.092,0.0,49.222,0.382,0.13,0.264,0.017
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",6.742,0.0,8.455,0.227,1.713,20.26,2.934
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",10.481,0.0,18.766,0.46,8.285,44.149,68.641
"false","[DEEPCOPY, SNAPSHOTSERIALIZER, CLOCK]",12.611,0.0,14.385,0.368,1.774,12.332,3.147
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",6.279,0.0,8.379,0.263,2.1,25.063,4.41
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",10.356,0.0,18.764,0.114,8.408,44.809,70.694
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER]",6.318,0.0,8.072,0.374,1.754,21.729,3.077
"true","[JOURNALSERIALIZER, FILESIZETHRESHOLD]",19.741,0.0,19.447,0.373,0.294,1.512,0.086
"true","[MONITOR, DISKSYNC]",44.268,0.0,43.752,0.945,0.516,1.179,0.266
"true","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, CLOCK]",10.427,0.0,8.402,0.405,2.025,24.101,4.101
"true","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, CLOCK]",42.982,0.0,42.484,0.608,0.498,1.172,0.248
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",54.566,0.0,69.549,0.712,14.983,21.543,224.49
"true","[DISKSYNC, JOURNALSERIALIZER]",49.467,0.0,49.777,0.577,0.31,0.623,0.096
"false","[FILEAGETHRESHOLD, DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",48.838,0.0,63.43,0.912,14.592,23.005,212.926
"false","[FILEAGETHRESHOLD, DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",54.434,0.0,70.654,0.968,16.22,22.957,263.088
"true","[FILEAGETHRESHOLD, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",20.539,0.0,19.723,0.277,0.816,4.137,0.666
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.424,0.0,18.452,0.332,8.028,43.507,64.449
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",6.259,0.0,8.345,0.126,2.086,24.997,4.351
"true","[MONITOR]",12.001,0.0,11.359,0.099,0.642,5.652,0.412
"true","[FILEAGETHRESHOLD, TRANSIENTMODE]",6.203,0.0,5.657,0.225,0.546,9.652,0.298
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",6.564,0.0,5.632,0.103,0.932,16.548,0.869
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",6.301,0.0,8.254,0.313,1.953,23.661,3.814
"false","[DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",47.999,0.0,49.657,1.009,1.658,3.339,2.749
"false","[DEEPCOPY, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",19.788,0.0,30.28,0.497,10.492,34.65,110.082
"true","[MONITOR, DISKSYNC, CLOCK]",43.213,0.0,44.007,0.385,0.794,1.804,0.63
"true","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",10.39,0.0,8.321,0.303,2.069,24.865,4.281
"false","[DEEPCOPY, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",6.333,0.0,8.653,0.252,2.32,26.812,5.382
"false","[DEEPCOPY, MONITOR, DISKSYNC]",44.236,0.0,50.467,0.788,6.231,12.347,38.825
"true","[DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",53.897,0.0,56.359,0.571,2.462,4.368,6.061
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",49.287,0.0,62.785,0.926,13.498,21.499,182.196
"false","[FILEAGETHRESHOLD, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",47.98,0.0,47.508,0.864,0.472,0.994,0.223
"true","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",9.966,0.0,8.371,0.402,1.595,19.054,2.544
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.231,0.0,7.873,0.34,1.642,20.856,2.696
"true","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.424,0.0,8.495,0.347,1.929,22.707,3.721
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",54.334,0.0,55.751,0.349,1.417,2.542,2.008
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",10.538,0.0,18.557,0.388,8.019,43.213,64.304
"true","[FILEAGETHRESHOLD, MONITOR]",11.931,0.0,11.294,0.745,0.637,5.64,0.406
"true","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER]",9.881,0.0,8.88,0.391,1.001,11.273,1.002
"false","[FILEAGETHRESHOLD, DEEPCOPY, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",16.115,0.0,19.184,0.189,3.069,15.998,9.419
"true","[MONITOR, FILESIZETHRESHOLD]",15.798,0.0,14.091,0.096,1.707,12.114,2.914
"false","[DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",48.49,0.0,47.551,0.794,0.939,1.975,0.882
"true","[DISKSYNC, FILESIZETHRESHOLD, CLOCK]",48.488,0.0,47.545,0.316,0.943,1.983,0.889
