measured,configuration,splat_delay,splat_delay_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[CHECKSUM, FORCE, VERBOSE]",4.642,0,4.713,0.099,4.555,4.871,true,0.071,0.015,0.005
"true","[BLOCKSIZE, VERBOSE]",4.333,0,4.472,0.059,4.379,4.566,false,0.139,0.031,0.019
"true","[CHECKSUM, TRANSFORM, LEVEL]",61.233,0,61.423,0.264,61.002,61.843,true,0.19,0.003,0.036
"false","[FORCE, VERBOSE]",4.653,0,4.713,0.054,4.628,4.799,true,0.06,0.013,0.004
"true","[TRANSFORM, LEVEL]",61.061,0,61.195,0.339,60.656,61.734,true,0.134,0.002,0.018
"true","[CHECKSUM, TRANSFORM]",4.556,0,4.5,0.066,4.395,4.605,true,0.056,0.012,0.003
"false","[FORCE, VERBOSE, LEVEL]",60.666,0,61.599,0.11,61.424,61.775,false,0.933,0.015,0.87
"true","[TRANSFORM]",4.568,0,4.516,0.052,4.434,4.599,true,0.052,0.012,0.003
"false","[CHECKSUM, FORCE, BLOCKSIZE]",4.391,0,4.472,0.074,4.355,4.589,true,0.081,0.018,0.007
"true","[BLOCKSIZE, VERBOSE, LEVEL]",62.492,0,61.812,0.734,60.643,62.98,true,0.68,0.011,0.462
"false","[CHECKSUM, FORCE, VERBOSE, LEVEL]",61.73,0,61.487,0.395,60.858,62.116,true,0.243,0.004,0.059
"false","[FORCE, BLOCKSIZE]",4.575,0,4.411,0.111,4.234,4.587,true,0.164,0.037,0.027
"false","[FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",4.482,0,4.434,0.071,4.32,4.547,true,0.048,0.011,0.002
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",4.47,0,4.521,0.07,4.41,4.632,true,0.051,0.011,0.003
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.454,0,62.287,0.273,61.852,62.722,true,0.167,0.003,0.028
"true","[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.155,0,61.891,0.284,61.439,62.342,true,0.264,0.004,0.07
"true","[CHECKSUM, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.57,0,61.794,0.818,60.493,63.095,true,0.224,0.004,0.05
"false","[FORCE, TRANSFORM, ENTROPY]",4.509,0,4.471,0.062,4.372,4.57,true,0.038,0.008,0.001
"true","[TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.321,0,61.799,0.512,60.984,62.615,true,0.478,0.008,0.228
"false","[CHECKSUM, FORCE, TRANSFORM, ENTROPY]",4.527,0,4.532,0.032,4.482,4.583,true,0.005,0.001,0
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, LEVEL]",62.073,0,62.324,0.171,62.051,62.596,true,0.251,0.004,0.063
"true","[CHECKSUM, BLOCKSIZE, VERBOSE]",4.473,0,4.525,0.061,4.427,4.622,true,0.052,0.011,0.003
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, ENTROPY]",4.708,0,4.796,0.082,4.665,4.928,true,0.088,0.018,0.008
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",4.504,0,4.508,0.1,4.349,4.667,true,0.004,0.001,0
"false","[FORCE, TRANSFORM, VERBOSE, ENTROPY]",4.634,0,4.741,0.019,4.71,4.772,false,0.107,0.023,0.011
"true","[CHECKSUM, ENTROPY]",4.636,0,4.541,0.033,4.488,4.594,false,0.095,0.021,0.009
"false","[FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",4.516,0,4.412,0.026,4.371,4.453,false,0.104,0.024,0.011
"false","[FORCE, LEVEL, ENTROPY]",61.562,0,61.784,0.572,60.874,62.695,true,0.222,0.004,0.049
"false","[CHECKSUM, FORCE, LEVEL, ENTROPY]",60.794,0,62.026,0.77,60.801,63.251,false,1.232,0.02,1.518
"true","[ENTROPY]",4.364,0,4.508,0.098,4.351,4.664,true,0.144,0.032,0.021
"false","[FORCE, TRANSFORM]",4.568,0,4.538,0.086,4.401,4.675,true,0.03,0.007,0.001
"false","[FORCE, BLOCKSIZE, VERBOSE]",4.333,0,4.486,0.033,4.435,4.538,false,0.153,0.034,0.023
"true","[BLOCKSIZE, LEVEL, ENTROPY]",61.738,0,61.608,0.461,60.874,62.342,true,0.13,0.002,0.017
"true","[BLOCKSIZE, TRANSFORM]",4.385,0,4.446,0.066,4.341,4.551,true,0.061,0.014,0.004
"true","[BLOCKSIZE]",4.575,0,4.43,0.101,4.269,4.591,true,0.145,0.033,0.021
"true","[TRANSFORM, VERBOSE, LEVEL]",61.824,0,62.278,0.704,61.157,63.398,true,0.454,0.007,0.206
"false","[FORCE, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.657,0,62.452,0.819,61.149,63.756,true,0.205,0.003,0.042
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",62.545,0,61.965,0.738,60.791,63.139,true,0.58,0.009,0.336
"true","[VERBOSE, LEVEL]",60.666,0,61.546,0.319,61.039,62.054,false,0.88,0.014,0.774
"true","[BLOCKSIZE, TRANSFORM, LEVEL]",61.812,0,61.564,0.238,61.185,61.943,true,0.248,0.004,0.062
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",4.527,0,4.427,0.071,4.314,4.54,true,0.1,0.023,0.01
"true","[CHECKSUM, BLOCKSIZE, ENTROPY]",4.577,0,4.471,0.054,4.385,4.557,false,0.106,0.024,0.011
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.576,0,4.523,0.072,4.408,4.639,true,0.053,0.012,0.003
"true","[BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",62.493,0,61.516,0.235,61.142,61.891,false,0.977,0.016,0.955
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL]",62.473,0,61.694,0.298,61.219,62.169,false,0.779,0.013,0.607
"false","[FORCE, VERBOSE, ENTROPY]",4.569,0,4.683,0.037,4.625,4.742,false,0.114,0.024,0.013
"false","[CHECKSUM, FORCE, TRANSFORM, LEVEL]",61.233,0,61.107,0.119,60.918,61.296,true,0.126,0.002,0.016
"true","[VERBOSE]",4.653,0,4.673,0.079,4.547,4.799,true,0.02,0.004,0
"false","[FORCE, TRANSFORM, LEVEL, ENTROPY]",61.605,0,61.154,0.475,60.398,61.91,true,0.451,0.007,0.203
"true","[VERBOSE, LEVEL, ENTROPY]",61.297,0,61.729,0.467,60.986,62.473,true,0.432,0.007,0.187
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, ENTROPY]",4.504,0,4.435,0.044,4.366,4.505,true,0.069,0.016,0.005
"false","[FORCE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.321,0,61.582,0.385,60.969,62.194,true,0.261,0.004,0.068
"false","[CHECKSUM, FORCE, LEVEL]",60.604,0,61.496,0.701,60.381,62.611,true,0.892,0.015,0.796
"true","[CHECKSUM, TRANSFORM, ENTROPY]",4.527,0,4.512,0.052,4.428,4.595,true,0.015,0.003,0
"true","[CHECKSUM, BLOCKSIZE, VERBOSE, ENTROPY]",4.47,0,4.526,0.065,4.421,4.63,true,0.056,0.012,0.003
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.155,0,61.999,0.485,61.227,62.772,true,0.156,0.003,0.024
"false","[FORCE, ENTROPY]",4.364,0,4.457,0.05,4.378,4.536,false,0.093,0.021,0.009
"false","[FORCE, TRANSFORM, VERBOSE]",4.72,0,4.758,0.051,4.677,4.84,true,0.038,0.008,0.001
"false","[FORCE, BLOCKSIZE, TRANSFORM]",4.385,0,4.429,0.053,4.344,4.514,true,0.044,0.01,0.002
"true","[CHECKSUM, TRANSFORM, VERBOSE, ENTROPY]",4.708,0,4.748,0.032,4.697,4.798,true,0.04,0.008,0.002

Total: 128
MSE: 0.258
RMSE: 0.508
MAPE: 1.22
Measured within ci: 0
Measured outside ci: 0
Predicted within ci: 0
Predicted outside ci: 0
Valid configs: 128.0
