measured,configuration,performance,std
true,"[LINENUMBER, MATCHINGFILES, IGNORECASE]",2.53,0.018
true,"[INVERTMATCH, IGNORECASE]",2.899,0.017
true,"[WHOLELINE, IGNORECASE]",2.919,0.021
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",3.071,0.046
true,"[INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",2.334,0.012
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.976,0.08
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES]",2.353,0.017
true,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.051,0.028
true,"[WHOLELINE, COUNT, MATCHINGFILES]",3.141,0.032
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.047,0.031
true,"[WHOLELINE, LINENUMBER, IGNORECASE]",2.883,0.022
true,"[FIXEDSTRINGS, INVERTMATCH, LINENUMBER]",2.957,0.029
true,"[FIXEDSTRINGS, COUNT, MATCHINGFILES, IGNORECASE]",3.976,0.156
true,"[WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",11.793,0.745
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.053,0.009
true,"[INVERTMATCH, MATCHINGFILES]",2.349,0.014
true,"[COUNT, LINENUMBER, MATCHINGFILES]",3.814,0.018
true,"[INVERTMATCH, LINENUMBER, IGNORECASE]",2.974,0.024
true,"[WHOLELINE, COUNT]",3.15,0.024
true,"[IGNORECASE]",2.98,0.028
true,"[]",2.993,0.05
true,"[WHOLELINE, MATCHINGFILES]",3.202,0.04
true,"[FIXEDSTRINGS, WHOLELINE, COUNT]",3.041,0.03
true,"[INVERTMATCH, MATCHINGFILES, IGNORECASE]",2.362,0.018
true,"[INVERTMATCH, COUNT, LINENUMBER]",3.802,0.034
true,"[FIXEDSTRINGS, IGNORECASE]",2.948,0.03
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.038,0.022
true,"[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES, IGNORECASE]",3.035,0.024
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",3.929,0.047
true,"[INVERTMATCH, WHOLELINE, COUNT]",3.221,0.043
true,"[FIXEDSTRINGS, MATCHINGFILES]",3.093,0.034
true,"[LINENUMBER, MATCHINGFILES]",3.864,0.04
